dataset,seed,arm,role,channel,valid_count,standardized_mse,standardized_mae,raw_mae
electricity,41001,SHARED_BUDGET,INIT,column_017,5184,0.9597594007333856,0.7715233983011179,33.883002104451606
electricity,41001,SHARED_BUDGET,INIT,column_018,5184,0.6347602459679645,0.6256433801403221,127.52124186307675
electricity,41001,SHARED_BUDGET,INIT,column_019,5184,1.784007180643044,1.060331285393872,49.327164954875826
electricity,41001,SHARED_BUDGET,INIT,column_020,5184,1.6622301924943759,1.0040906942485441,14.71987832470742
electricity,41001,SHARED_BUDGET,INIT,column_021,5184,0.7613601970066485,0.7002325968269922,209.2694826525918
electricity,41001,SHARED_BUDGET,INIT,column_022,5184,0.6832880054003073,0.6098309795929652,21.200895632035387
electricity,41001,SHARED_BUDGET,INIT,column_023,5184,0.8482834385452683,0.7056161953894642,21.20117017058011
electricity,41001,SHARED_BUDGET,INIT,column_024,5184,0.7795763964858943,0.700878977480134,60.894753366222304
electricity,41001,SHARED_BUDGET,INIT,column_025,5184,1.50247670333562,0.9926774327685075,121.2635451373083
electricity,41001,SHARED_BUDGET,INIT,column_026,5184,0.6648378270060737,0.6126391053881822,64.33028570574074
electricity,41001,SHARED_BUDGET,INIT,column_027,5184,1.2637274310610234,0.9043273424099482,15.366743895227494
electricity,41001,SHARED_BUDGET,INIT,column_028,5184,0.908894686576274,0.7411530625715027,94.97995686401349
electricity,41001,SHARED_BUDGET,INIT,column_029,5184,1.9007032690049417,1.0875338844823461,109.2485028439887
electricity,41001,SHARED_BUDGET,INIT,column_030,5184,0.9087040963971343,0.7158087966192263,106.68763258888222
electricity,41001,SHARED_BUDGET,INIT,column_031,5184,0.9988899238962078,0.8103774875898923,94.57199150591129
electricity,41001,SHARED_BUDGET,selected,column_000,5184,0.3386024679875773,0.30135721113208686,7.428238894478952
electricity,41001,SHARED_BUDGET,selected,column_001,5184,0.31241803249301486,0.4203031126031689,11.04207407177956
electricity,41001,SHARED_BUDGET,selected,column_002,5184,0.0006452842881122649,0.014654809593246032,0.8553858954693073
electricity,41001,SHARED_BUDGET,selected,column_003,5184,0.3181765269886582,0.418831456894645,64.20889182950768
