arm,dataset,fit,lr,order,reuse_key,seed,mode,status,updates,epochs,active_seconds,validation_seconds,checkpoint_seconds,resume_save_seconds,load_seconds,load_peak,train_peak_allocated,train_peak_reserved,validation_peak_allocated,wall_seconds,historical_steps_path,initial_hash,original_training_cost,trainable,resume_path,frozen_and_buffers_unchanged
PRIOR,traffic,10_traffic_PRIOR_41000_0.0003,0.0003,10,,41000,NEW,COMPLETE,1260,20,48.0636035388452,3.230169993970776,0.14675552395056002,26.00684833273408,0.3325919850030914,222680576,446556160,469762048,339703808,186.6475425690005,,,,761952,.cache/channel_controlled_improvement_v1_20260916/10_traffic_PRIOR_41000_0.0003_resume.pt,True
LH,electricity,11_electricity_LH_41000_0.0003,0.0003,11,,41000,NEW,COMPLETE,1280,20,59.31610252670362,3.268437956983689,0.14466977800475433,26.67795456186286,0.35768361800001003,221992448,1121556992,1195376640,299907072,201.87855325100827,,,,761952,.cache/channel_controlled_improvement_v1_20260916/11_electricity_LH_41000_0.0003_resume.pt,True
PRIOR,electricity,12_electricity_PRIOR_41001_0.001,0.001,12,,41001,NEW,COMPLETE,1280,20,49.386566273809876,4.343292641045991,0.14909613892086782,26.43076970425318,0.3293769269948825,222680576,446556160,471859200,339703808,192.38705632500933,,,,761952,.cache/channel_controlled_improvement_v1_20260916/12_electricity_PRIOR_41001_0.001_resume.pt,True
PRIOR,traffic,13_traffic_PRIOR_41000_0.001,0.001,13,traffic_41000_PRIOR,41000,REUSE,COMPLETE,1260,20,0.0,3.2261766779993195,0.18365475098835304,0.0,0.3368453290022444,222680576,0,0,330035712,6.282902139995713,results/channel_attention_prior_20260916/05_traffic_41000_PRIOR_steps.json,360619303038124fd984c92199c58dd5e736f75655e7bc26b6fa5caa031c207d,REUSED; separate old step records,761952,,
PRIOR,traffic,14_traffic_PRIOR_41002_0.001,0.001,14,,41002,NEW,COMPLETE,1260,20,48.03786077949917,3.216286495968234,0.14651582593796775,25.757124498282792,0.33474229800049216,222680576,446556160,469762048,339703808,187.44224959099665,,,,761952,.cache/channel_controlled_improvement_v1_20260916/14_traffic_PRIOR_41002_0.001_resume.pt,True
SIDE,electricity,15_electricity_SIDE_41000_0.001,0.001,15,electricity_41000_SIDE,41000,REUSE,COMPLETE,1280,20,0.0,4.293848810048075,0.183564992970787,0.0,0.3279200909892097,222680576,0,0,330035712,7.678749473008793,results/channel_attention_prior_20260916/00_electricity_41000_SIDE_steps.json,360619303038124fd984c92199c58dd5e736f75655e7bc26b6fa5caa031c207d,REUSED; separate old step records,761952,,
PRIOR,electricity,16_electricity_PRIOR_41001_0.0003,0.0003,16,,41001,NEW,COMPLETE,1280,20,48.77252443993348,4.314150397985941,0.1458826789748855,26.49266491754679,0.33029284997610375,222680576,446556160,471859200,339703808,192.9812300519843,,,,761952,.cache/channel_controlled_improvement_v1_20260916/16_electricity_PRIOR_41001_0.0003_resume.pt,True
LH,electricity,17_electricity_LH_41000_0.001,0.001,17,electricity_41000_LH,41000,REUSE,COMPLETE,1280,20,0.0,3.2400670310889836,0.195337957033189,0.0,0.3403513800003566,221992448,0,0,290763264,7.005426988995168,results/channel_phase_balance_20260916/00_electricity_41000_BALANCED_LH_steps.json,f9dd5efaba87dbfdc1743401a3315393378463669d40146dad08c8cc4a35d4d9,REUSED; separate old step records,761952,,
SIDE,traffic,18_traffic_SIDE_41001_0.0003,0.0003,18,,41001,NEW,COMPLETE,1260,20,48.03169079570216,3.268158420076361,0.15227266799774952,26.082235325331567,0.32912113500060514,222680576,446556160,469762048,339703808,189.46575810198556,,,,761952,.cache/channel_controlled_improvement_v1_20260916/18_traffic_SIDE_41001_0.0003_resume.pt,True
SIDE,traffic,19_traffic_SIDE_41002_0.0003,0.0003,19,,41002,NEW,COMPLETE,1260,20,48.1480169693823,3.25420042098267,0.14892184996278957,26.085489230928943,0.3334438010060694,222680576,446556160,469762048,339703808,190.86058445301023,,,,761952,.cache/channel_controlled_improvement_v1_20260916/19_traffic_SIDE_41002_0.0003_resume.pt,True
SIDE,traffic,20_traffic_SIDE_41001_0.001,0.001,20,,41001,NEW,COMPLETE,1260,20,47.824181933974614,3.248334485164378,0.1488864780694712,25.855928537843283,0.3429948839766439,222680576,446556160,469762048,339703808,189.28632211798686,,,,761952,.cache/channel_controlled_improvement_v1_20260916/20_traffic_SIDE_41001_0.001_resume.pt,True
LH,traffic,21_traffic_LH_41002_0.0003,0.0003,21,,41002,NEW,COMPLETE,1260,20,58.50822006224189,2.4345823629701044,0.14435291997506283,26.23894001598819,0.33022950901067816,221992448,1121556992,1195376640,299907072,201.45896464199177,,,,761952,.cache/channel_controlled_improvement_v1_20260916/21_traffic_LH_41002_0.0003_resume.pt,True
PRIOR,electricity,22_electricity_PRIOR_41002_0.001,0.001,22,,41002,NEW,COMPLETE,1280,20,48.989768710307544,4.345495771034621,0.14639689802424982,26.512236707203556,0.334338081011083,222680576,446556160,471859200,339703808,195.1516212290153,,,,761952,.cache/channel_controlled_improvement_v1_20260916/22_electricity_PRIOR_41002_0.001_resume.pt,True
SIDE,electricity,23_electricity_SIDE_41002_0.0003,0.0003,23,,41002,NEW,COMPLETE,1280,20,48.8643393322709,4.333255432866281,0.1467391851474531,26.47634358238429,0.3322352190152742,222680576,446556160,471859200,339703808,195.3604742650059,,,,761952,.cache/channel_controlled_improvement_v1_20260916/23_electricity_SIDE_41002_0.0003_resume.pt,True
PRIOR,traffic,24_traffic_PRIOR_41001_0.001,0.001,24,traffic_41001_PRIOR,41001,REUSE,COMPLETE,1260,20,0.0,3.2466790070175193,0.18943619102356024,0.0,0.33524081399082206,222680576,0,0,330035712,8.132093522988725,results/channel_attention_prior_20260916/07_traffic_41001_PRIOR_steps.json,3cb350690d1bc275755e9e917b070ba31707dfd6bd2583bf92ac147853bee9d7,REUSED; separate old step records,761952,,
LH,electricity,25_electricity_LH_41001_0.0003,0.0003,25,,41001,NEW,COMPLETE,1280,20,60.014261984440964,3.3247699989005923,0.14575189002789557,27.199973950831918,0.32691041301586665,221992448,1121556992,1195376640,299907072,208.17177589301718,,,,761952,.cache/channel_controlled_improvement_v1_20260916/25_electricity_LH_41001_0.0003_resume.pt,True
SIDE,traffic,26_traffic_SIDE_41002_0.001,0.001,26,,41002,NEW,COMPLETE,1260,20,48.43641091804602,3.249727683054516,0.1518553100177087,26.20263829184114,0.33784829400246963,222680576,446556160,469762048,339703808,192.9731994009926,,,,761952,.cache/channel_controlled_improvement_v1_20260916/26_traffic_SIDE_41002_0.001_resume.pt,True
SIDE,electricity,27_electricity_SIDE_41002_0.001,0.001,27,,41002,NEW,COMPLETE,1280,20,50.525206883176,4.499649659002898,0.1522670790727716,27.886280687205726,0.3384088650054764,222680576,446556160,471859200,339703808,202.65297803800786,,,,761952,.cache/channel_controlled_improvement_v1_20260916/27_electricity_SIDE_41002_0.001_resume.pt,True
PRIOR,electricity,28_electricity_PRIOR_41000_0.0003,0.0003,28,,41000,NEW,COMPLETE,1280,20,52.20241090588388,4.715650871017715,0.15657680100412108,29.018295807705726,0.3561757800052874,222680576,446556160,471859200,339703808,209.37911768999766,,,,761952,.cache/channel_controlled_improvement_v1_20260916/28_electricity_PRIOR_41000_0.0003_resume.pt,True
LH,electricity,29_electricity_LH_41002_0.001,0.001,29,,41002,NEW,COMPLETE,1280,20,62.9019580205204,3.5481013429234736,0.16863460509921424,28.94793502643006,0.36196528997970745,221992448,1121556992,1195376640,299907072,216.76845722697908,,,,761952,.cache/channel_controlled_improvement_v1_20260916/29_electricity_LH_41002_0.001_resume.pt,True
LH,traffic,30_traffic_LH_41001_0.0003,0.0003,30,,41001,NEW,COMPLETE,1260,20,62.23340825282503,2.6179394179198425,0.1668031790468376,28.27984205185203,0.3539467820082791,221992448,1121556992,1195376640,299907072,213.04406956300954,,,,761952,.cache/channel_controlled_improvement_v1_20260916/30_traffic_LH_41001_0.0003_resume.pt,True
LH,electricity,31_electricity_LH_41001_0.001,0.001,31,,41001,NEW,COMPLETE,1280,20,62.96914017992094,3.519737902941415,0.1589324249071069,28.999035832704976,0.3487074989825487,221992448,1121556992,1195376640,299907072,217.68104437697912,,,,761952,.cache/channel_controlled_improvement_v1_20260916/31_electricity_LH_41001_0.001_resume.pt,True
PRIOR,traffic,32_traffic_PRIOR_41002_0.0003,0.0003,32,,41002,NEW,COMPLETE,1260,20,51.242274559510406,3.5100268970709294,0.16381610409007408,28.470974400406703,0.37635006199707277,222680576,446556160,469762048,339703808,205.31246397798532,,,,761952,.cache/channel_controlled_improvement_v1_20260916/32_traffic_PRIOR_41002_0.0003_resume.pt,True
PRIOR,electricity,33_electricity_PRIOR_41000_0.001,0.001,33,electricity_41000_PRIOR,41000,REUSE,COMPLETE,1280,20,0.0,4.610470065003028,0.20463543207733892,0.0,0.3587801569956355,222680576,0,0,330035712,11.584755796007812,results/channel_attention_prior_20260916/01_electricity_41000_PRIOR_steps.json,360619303038124fd984c92199c58dd5e736f75655e7bc26b6fa5caa031c207d,REUSED; separate old step records,761952,,
PRIOR,traffic,34_traffic_PRIOR_41001_0.0003,0.0003,34,,41001,NEW,COMPLETE,1260,20,51.64174560018,3.5245530299434904,0.16403012096998282,28.643740963714663,0.3603253540059086,222680576,446556160,469762048,339703808,207.31238292800845,,,,761952,.cache/channel_controlled_improvement_v1_20260916/34_traffic_PRIOR_41001_0.0003_resume.pt,True
LH,traffic,35_traffic_LH_41002_0.001,0.001,35,,41002,NEW,COMPLETE,1260,20,62.0811796807684,2.6040416829055175,0.1645500108716078,28.372354269813513,0.36549048000597395,221992448,1121556992,1195376640,299907072,215.39311669699964,,,,761952,.cache/channel_controlled_improvement_v1_20260916/35_traffic_LH_41002_0.001_resume.pt,True
