fit,dataset,arm,seed,lr,mode,updates,active_seconds,median_step_seconds,step_peak_allocated,step_peak_reserved,current_run_wall_seconds,current_validation_seconds,current_load_peak,current_validation_peak,current_checkpoint_seconds,current_resume_save_seconds
10_traffic_PRIOR_41000_0.0003,traffic,PRIOR,41000,0.0003,NEW,1260,48.0636035388452,0.03743050049524754,446556160,469762048,186.6475425690005,3.230169993970776,222680576,339703808,0.14675552395056002,26.00684833273408
11_electricity_LH_41000_0.0003,electricity,LH,41000,0.0003,NEW,1280,59.31610252670362,0.04569151651230641,1121556992,1195376640,201.87855325100827,3.268437956983689,221992448,299907072,0.14466977800475433,26.67795456186286
12_electricity_PRIOR_41001_0.001,electricity,PRIOR,41001,0.001,NEW,1280,49.386566273809876,0.03779692298849113,446556160,471859200,192.38705632500933,4.343292641045991,222680576,339703808,0.14909613892086782,26.43076970425318
13_traffic_PRIOR_41000_0.001,traffic,PRIOR,41000,0.001,REUSE,1260,48.03256735927425,0.037535442010266706,447096832,490733568,6.282902139995713,3.2261766779993195,222680576,330035712,0.18365475098835304,0.0
14_traffic_PRIOR_41002_0.001,traffic,PRIOR,41002,0.001,NEW,1260,48.03786077949917,0.037540458506555296,446556160,469762048,187.44224959099665,3.216286495968234,222680576,339703808,0.14651582593796775,25.757124498282792
15_electricity_SIDE_41000_0.001,electricity,SIDE,41000,0.001,REUSE,1280,48.49872689082986,0.037331949977669865,446556160,471859200,7.678749473008793,4.293848810048075,222680576,330035712,0.183564992970787,0.0
16_electricity_PRIOR_41001_0.0003,electricity,PRIOR,41001,0.0003,NEW,1280,48.77252443993348,0.03753383400908206,446556160,471859200,192.9812300519843,4.314150397985941,222680576,339703808,0.1458826789748855,26.49266491754679
17_electricity_LH_41000_0.001,electricity,LH,41000,0.001,REUSE,1280,61.89577064884361,0.047709227990708314,1121556992,1195376640,7.005426988995168,3.2400670310889836,221992448,290763264,0.195337957033189,0.0
18_traffic_SIDE_41001_0.0003,traffic,SIDE,41001,0.0003,NEW,1260,48.03169079570216,0.03744394448585808,446556160,469762048,189.46575810198556,3.268158420076361,222680576,339703808,0.15227266799774952,26.082235325331567
19_traffic_SIDE_41002_0.0003,traffic,SIDE,41002,0.0003,NEW,1260,48.1480169693823,0.0375355389987817,446556160,469762048,190.86058445301023,3.25420042098267,222680576,339703808,0.14892184996278957,26.085489230928943
20_traffic_SIDE_41001_0.001,traffic,SIDE,41001,0.001,NEW,1260,47.824181933974614,0.03738090899423696,446556160,469762048,189.28632211798686,3.248334485164378,222680576,339703808,0.1488864780694712,25.855928537843283
21_traffic_LH_41002_0.0003,traffic,LH,41002,0.0003,NEW,1260,58.50822006224189,0.04573478249949403,1121556992,1195376640,201.45896464199177,2.4345823629701044,221992448,299907072,0.14435291997506283,26.23894001598819
