target,seed,arm,variant,condition,metric,score,n
T1,61731,E1,CALIBRATED,DELAYED,normalized_2pinball,0.09358607052763912,75
T1,61731,E1,CALIBRATED,MEAN,normalized_2pinball,0.09039550834178245,75
T1,61731,E1,CALIBRATED,S0,normalized_2pinball,0.08082382178421242,75
T1,61731,E1,CALIBRATED,S1,normalized_2pinball,0.08822385951447305,75
T1,61731,E1,CALIBRATED,S2,normalized_2pinball,0.09083805987382075,75
T1,61731,E1,CALIBRATED,S3,normalized_2pinball,0.10169629219462349,75
T1,61731,E1,RAW,DELAYED,normalized_2pinball,0.09507805813551651,75
T1,61731,E1,RAW,MEAN,normalized_2pinball,0.09125462599902329,75
T1,61731,E1,RAW,S0,normalized_2pinball,0.07978432958954362,75
T1,61731,E1,RAW,S1,normalized_2pinball,0.08964203157783701,75
T1,61731,E1,RAW,S2,normalized_2pinball,0.09220566947637301,75
T1,61731,E1,RAW,S3,normalized_2pinball,0.10338647335233948,75
T1,61731,E2,CALIBRATED,DELAYED,normalized_2pinball,0.09358607052763912,75
T1,61731,E2,CALIBRATED,MEAN,normalized_2pinball,0.09039550834178245,75
T1,61731,E2,CALIBRATED,S0,normalized_2pinball,0.08082382178421242,75
T1,61731,E2,CALIBRATED,S1,normalized_2pinball,0.08822385951447305,75
T1,61731,E2,CALIBRATED,S2,normalized_2pinball,0.09083805987382075,75
T1,61731,E2,CALIBRATED,S3,normalized_2pinball,0.10169629219462349,75
T1,61731,E2,RAW,DELAYED,normalized_2pinball,0.09507805813551651,75
T1,61731,E2,RAW,MEAN,normalized_2pinball,0.09125462599902329,75
T1,61731,E2,RAW,S0,normalized_2pinball,0.07978432958954362,75
T1,61731,E2,RAW,S1,normalized_2pinball,0.08964203157783701,75
T1,61731,E2,RAW,S2,normalized_2pinball,0.09220566947637301,75
T1,61731,E2,RAW,S3,normalized_2pinball,0.10338647335233948,75
T1,61731,E3,CALIBRATED,DELAYED,normalized_2pinball,0.09358607052763912,75
T1,61731,E3,CALIBRATED,MEAN,normalized_2pinball,0.09096314700975207,75
T1,61731,E3,CALIBRATED,S0,normalized_2pinball,0.08309437645609093,75
T1,61731,E3,CALIBRATED,S1,normalized_2pinball,0.08822385951447305,75
T1,61731,E3,CALIBRATED,S2,normalized_2pinball,0.09083805987382075,75
T1,61731,E3,CALIBRATED,S3,normalized_2pinball,0.10169629219462349,75
T1,61731,E3,RAW,DELAYED,normalized_2pinball,0.09507805813551651,75
T1,61731,E3,RAW,MEAN,normalized_2pinball,0.09130160757966702,75
T1,61731,E3,RAW,S0,normalized_2pinball,0.0799722559121186,75
T1,61731,E3,RAW,S1,normalized_2pinball,0.08964203157783701,75
T1,61731,E3,RAW,S2,normalized_2pinball,0.09220566947637301,75
T1,61731,E3,RAW,S3,normalized_2pinball,0.10338647335233948,75
T1,61731,E4,CALIBRATED,DELAYED,normalized_2pinball,0.093966165596244,75
T1,61731,E4,CALIBRATED,MEAN,normalized_2pinball,0.09124821831120573,75
T1,61731,E4,CALIBRATED,S0,normalized_2pinball,0.08309437645609093,75
T1,61731,E4,CALIBRATED,S1,normalized_2pinball,0.08886017854703189,75
T1,61731,E4,CALIBRATED,S2,normalized_2pinball,0.09134202604707663,75
T1,61731,E4,CALIBRATED,S3,normalized_2pinball,0.10169629219462349,75
T1,61731,E4,RAW,DELAYED,normalized_2pinball,0.09518368133052077,75
T1,61731,E4,RAW,MEAN,normalized_2pinball,0.0913808249759202,75
T1,61731,E4,RAW,S0,normalized_2pinball,0.0799722559121186,75
T1,61731,E4,RAW,S1,normalized_2pinball,0.08983923141555697,75
T1,61731,E4,RAW,S2,normalized_2pinball,0.09232533922366577,75
T1,61731,E4,RAW,S3,normalized_2pinball,0.10338647335233948,75
T2,61730,E0,CALIBRATED,DELAYED,normalized_2pinball,0.1330852978800652,75
T2,61730,E0,CALIBRATED,MEAN,normalized_2pinball,0.1320790932987729,75
T2,61730,E0,CALIBRATED,S0,normalized_2pinball,0.12906047955489597,75
T2,61730,E0,CALIBRATED,S1,normalized_2pinball,0.12999817102883635,75
T2,61730,E0,CALIBRATED,S2,normalized_2pinball,0.13494854931357986,75
T2,61730,E0,CALIBRATED,S3,normalized_2pinball,0.13430917329777942,75
T2,61730,E0,RAW,DELAYED,normalized_2pinball,0.13292689250259762,75
T2,61730,E0,RAW,MEAN,normalized_2pinball,0.13243505957055415,75
T2,61730,E0,RAW,S0,normalized_2pinball,0.13095956077442364,75
T2,61730,E0,RAW,S1,normalized_2pinball,0.12977165652298134,75
T2,61730,E0,RAW,S2,normalized_2pinball,0.13461972164032743,75
T2,61730,E0,RAW,S3,normalized_2pinball,0.13438929934448413,75
T2,61730,E1,CALIBRATED,DELAYED,normalized_2pinball,0.13881365836190637,75
T2,61730,E1,CALIBRATED,MEAN,normalized_2pinball,0.13814633374009938,75
T2,61730,E1,CALIBRATED,S0,normalized_2pinball,0.1361443598746784,75
T2,61730,E1,CALIBRATED,S1,normalized_2pinball,0.13653724133857464,75
T2,61730,E1,CALIBRATED,S2,normalized_2pinball,0.14062253760868862,75
T2,61730,E1,CALIBRATED,S3,normalized_2pinball,0.13928119613845594,75
T2,61730,E1,RAW,DELAYED,normalized_2pinball,0.13866246412352906,75
T2,61730,E1,RAW,MEAN,normalized_2pinball,0.13846616043963533,75
T2,61730,E1,RAW,S0,normalized_2pinball,0.1378772493879542,75
T2,61730,E1,RAW,S1,normalized_2pinball,0.13633785094444265,75
T2,61730,E1,RAW,S2,normalized_2pinball,0.1403062191208189,75
