arm,seed,policy,detailed_context_blocks,origins,normalized_RMSE,daily_mean_RMSE_normalized,pattern_RMSE_normalized
I1,73102,selected,3,16,0.49262956237098987,0.1703454857898804,0.4616931879703846
I1,73102,selected,4,11,0.41970667834787656,0.18647428812282463,0.37078635380302
I1,73102,selected,5,11,0.48661073686288064,0.23958449115382324,0.40254156974061134
I1,73102,selected,6,5,0.4069560518001005,0.1355106760621606,0.3806256124705205
I1,73102,fixed512,1,5,0.6209640013908201,0.1614811318769505,0.597055201405503
I1,73102,fixed512,2,16,0.6140604125912695,0.2855881223151885,0.524593658171483
I1,73102,fixed512,3,16,0.5322967657009542,0.18342207458410303,0.4976373488912094
I1,73102,fixed512,4,11,0.4146713428195302,0.20031952043212103,0.35816689463529305
I1,73102,fixed512,5,11,0.5100465040572684,0.26758672023362906,0.40676576053452895
I1,73102,fixed512,6,5,0.4659420514882745,0.2102816388809948,0.41496159289604906
I2,73102,selected,1,5,0.6748274995968998,0.14165794042910163,0.6571657875822386
I2,73102,selected,2,16,0.8060401067292082,0.25123928047977384,0.7494140746127862
I2,73102,selected,3,16,0.6643504753340208,0.17334392347332983,0.6393013562999488
I2,73102,selected,4,11,0.5527735103301046,0.1849586478607631,0.5137013599707969
I2,73102,selected,5,11,0.6083534696227701,0.3011029310332693,0.4940568038637964
I2,73102,selected,6,5,0.5227210338634043,0.2222120694946183,0.46519636113048174
I2,73102,fixed512,1,5,0.6748274995968998,0.14165794042910163,0.6571657875822386
I2,73102,fixed512,2,16,0.8060401067292082,0.25123928047977384,0.7494140746127862
I2,73102,fixed512,3,16,0.6643504753340208,0.17334392347332983,0.6393013562999488
I2,73102,fixed512,4,11,0.5527735103301046,0.1849586478607631,0.5137013599707969
I2,73102,fixed512,5,11,0.6083534696227701,0.3011029310332693,0.4940568038637964
I2,73102,fixed512,6,5,0.5227210338634043,0.2222120694946183,0.46519636113048174
I3,73102,selected,1,5,0.6724078790081017,0.15112970544444693,0.6528101988749395
I3,73102,selected,2,16,0.7298921572613792,0.262412996108406,0.663854444564316
I3,73102,selected,3,16,0.5529061817781324,0.15059667456439665,0.5316562107953327
I3,73102,selected,4,11,0.47565631852451706,0.18699353853691475,0.4287276484507241
I3,73102,selected,5,11,0.4999056744065342,0.23450799896666458,0.42178622713116404
I3,73102,selected,6,5,0.45019057205700436,0.1606428463317889,0.4201445734533992
I3,73102,fixed512,1,5,0.6681705733315306,0.14464134298007902,0.6499439997029044
I3,73102,fixed512,2,16,0.7587107201556227,0.26880442144799516,0.6902063419339359
I3,73102,fixed512,3,16,0.5807915723764889,0.15252510937589242,0.5596035925668901
I3,73102,fixed512,4,11,0.46786678366462325,0.18223292922764542,0.42545542753767795
I3,73102,fixed512,5,11,0.5694719602711577,0.3034780329419373,0.4410949512002903
I3,73102,fixed512,6,5,0.5141077289854572,0.2409232510925953,0.4462114252402887
