arm,seed,policy,condition,channel,origin,normalized_MSE,raw_MAE
I0,73101,fixed512,standard,0,21360,0.08130415378132876,3.071907182534536
I0,73101,fixed512,standard,0,21456,0.0785039245878646,4.674545725186666
I0,73101,fixed512,standard,0,21528,0.07739820197643038,4.5389364361763
I0,73101,fixed512,standard,0,21624,0.09012125332199152,3.5784961779912314
I0,73101,fixed512,standard,0,21696,0.35934386893563147,7.135393699010213
I0,73101,fixed512,standard,0,21792,0.020433621698192985,2.6043431758880615
I0,73101,fixed512,standard,0,21864,0.0829254836467559,5.097156345844269
I0,73101,fixed512,standard,0,21960,0.04200593874532735,2.4418552120526633
I0,73101,fixed512,standard,0,22032,0.05076276701557534,3.6522952119509378
I0,73101,fixed512,standard,0,22104,1.8802130154927834,20.226262191931408
I0,73101,fixed512,standard,0,22200,0.42750711701402494,6.934932331244151
I0,73101,fixed512,standard,0,22272,0.1854368244229648,5.550284564495087
I0,73101,fixed512,standard,0,22368,0.15805579884177395,4.821451624234517
I0,73101,fixed512,standard,0,22440,0.47767314655342413,8.020239551862081
I0,73101,fixed512,standard,0,22536,0.2338543093553989,5.584571818510692
I0,73101,fixed512,standard,0,22608,0.4779683020276084,9.093904415766398
I0,73101,fixed512,standard,0,22704,3.327352153211276,29.162996133168537
I0,73101,fixed512,standard,0,22776,5.120737660594117,45.547574599583946
I0,73101,fixed512,standard,0,22872,3.7597161146857343,38.021034240722656
I0,73101,fixed512,standard,0,22944,0.23040185875034191,7.753256162007649
I0,73101,fixed512,standard,0,23040,0.8216878953164652,14.852126280466715
I0,73101,fixed512,standard,0,23112,0.4887905297449318,8.247191588083902
I0,73101,fixed512,standard,0,23184,0.18309121274017529,7.306423505147298
I0,73101,fixed512,standard,0,23280,0.12586421258044259,4.759547392527263
I0,73101,fixed512,standard,0,23352,0.16643421150805435,4.713483492533366
I0,73101,fixed512,standard,0,23448,0.31935206576631786,8.787118752797445
I0,73101,fixed512,standard,0,23520,1.4074711857064328,18.36469618479411
I0,73101,fixed512,standard,0,23616,0.8675456589285478,13.191463947296143
I0,73101,fixed512,standard,0,23688,1.5213320936139272,21.36120843887329
I0,73101,fixed512,standard,0,23784,0.08057396788504813,5.033616065979004
I0,73101,fixed512,standard,0,23856,0.048900574248679586,3.6806777318318686
