source,arm,seed,role,condition,subset,count,mean,std,min,p10,p25,median,p75,p90,max,histogram
electricity,B5,81551,V_SELECT,SHIFT8,all_slots,262144,0.020714666694402695,0.002258285880088806,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.04763150215148926,"[262144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,V_SELECT,SHIFT8,clipped_slots,17848,0.028133759275078773,0.0038793885614722967,0.020475003868341446,0.023673875257372856,0.025556175038218498,0.028221240267157555,0.029283497016876936,0.03189746290445328,0.04763150215148926,"[17848, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,V_SELECT,SHIFT_POINT,all_slots,262144,0.020409274846315384,0.0015325432177633047,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.04890754818916321,"[262144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,V_SELECT,SHIFT_POINT,clipped_slots,4788,0.02918115258216858,0.006283156108111143,0.0204217080026865,0.02263572420924902,0.023783606477081776,0.027377091348171234,0.03344832360744476,0.039976514875888824,0.04890754818916321,"[4788, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,E_DISCOVERY,REFERENCE,all_slots,524288,0.02029491774737835,0.0012180107878521085,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.04604075849056244,"[524288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,E_DISCOVERY,REFERENCE,clipped_slots,8088,0.02862757071852684,0.00485607422888279,0.020598620176315308,0.02286704070866108,0.02475483901798725,0.0281986091285944,0.0315181203186512,0.03447432070970535,0.04604075849056244,"[8088, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,E_DISCOVERY,POINT4,all_slots,524288,0.02029622718691826,0.00122897292021662,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.04604075849056244,"[524288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,E_DISCOVERY,POINT4,clipped_slots,8153,0.028637828305363655,0.004946999251842499,0.020481856539845467,0.022842469438910485,0.02475483901798725,0.028047749772667885,0.0315181203186512,0.03480282798409462,0.04604075849056244,"[8153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,E_DISCOVERY,POINT8,all_slots,524288,0.020304935052990913,0.0012248809216544032,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.04604075849056244,"[524288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,E_DISCOVERY,POINT8,clipped_slots,9936,0.027627376839518547,0.004787513054907322,0.020504510030150414,0.02273176796734333,0.023738815914839506,0.026791149750351906,0.03053760714828968,0.03366395831108093,0.04604075849056244,"[9936, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,E_DISCOVERY,POINT16,all_slots,524288,0.020322510972619057,0.0012993066338822246,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.04604075849056244,"[524288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,E_DISCOVERY,POINT16,clipped_slots,10000,0.028469309210777283,0.0043826536275446415,0.020566187798976898,0.023264674469828606,0.025538245216012,0.027705609798431396,0.03068006969988346,0.0337347649037838,0.04604075849056244,"[10000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,E_DISCOVERY,BURST4,all_slots,524288,0.020304793491959572,0.001196514000184834,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.04604075849056244,"[524288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,E_DISCOVERY,BURST4,clipped_slots,8198,0.02827315963804722,0.004861911758780479,0.0204379353672266,0.022690089233219624,0.024492732249200344,0.027648605406284332,0.0310563575476408,0.03428337723016739,0.04604075849056244,"[8198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,E_DISCOVERY,BURST8,all_slots,524288,0.020375695079565048,0.0014132782816886902,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.04604075849056244,"[524288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,E_DISCOVERY,BURST8,clipped_slots,15249,0.027363991364836693,0.004135824274271727,0.02045506052672863,0.023146243020892143,0.024396933615207672,0.026569122448563576,0.029056938365101814,0.03278901427984238,0.04604075849056244,"[15249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,E_DISCOVERY,BURST16,all_slots,524288,0.020481927320361137,0.0020016084890812635,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.048412732779979706,"[524288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,E_DISCOVERY,BURST16,clipped_slots,15712,0.030779121443629265,0.004828312899917364,0.020533394068479538,0.02427815832197666,0.027520307805389166,0.03042438253760338,0.03406086936593056,0.037418891862034794,0.048412732779979706,"[15712, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,E_DISCOVERY,SHIFT4,all_slots,524288,0.020362887531518936,0.0011854415060952306,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.04773854836821556,"[524288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,E_DISCOVERY,SHIFT4,clipped_slots,8001,0.027944078668951988,0.004580165259540081,0.020481856539845467,0.02267315611243248,0.024424191564321518,0.027301272377371788,0.03061511740088463,0.03480282798409462,0.04773854836821556,"[8001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,E_DISCOVERY,SHIFT8,all_slots,524288,0.020672369748353958,0.0020322329364717007,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.0204217080026865,0.0491328127682209,"[524288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,E_DISCOVERY,SHIFT8,clipped_slots,35271,0.027550870552659035,0.003125032875686884,0.0204217080026865,0.023559948429465294,0.025305074639618397,0.02790750563144684,0.028856176882982254,0.030662914738059044,0.0491328127682209,"[35271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,E_DISCOVERY,SHIFT_POINT,all_slots,524288,0.020368488505482674,0.001166525180451572,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.020138349384069443,0.04773854836821556,"[524288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81551,E_DISCOVERY,SHIFT_POINT,clipped_slots,9608,0.02695184387266636,0.004418955184519291,0.0204217080026865,0.02229523044079542,0.023468373343348503,0.025838244706392288,0.029439136385917664,0.03344832360744476,0.04773854836821556,"[9608, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81552,V_SELECT,REFERENCE,all_slots,262144,0.02027096599340439,0.001552036264911294,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.0470043309032917,"[262144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81552,V_SELECT,REFERENCE,clipped_slots,3966,0.030979158356785774,0.006349371280521154,0.020518777891993523,0.023332566022872925,0.0256882943212986,0.029850665479898453,0.03626735135912895,0.04018762707710266,0.0470043309032917,"[3966, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81552,V_SELECT,POINT4,all_slots,262144,0.02027171477675438,0.0015525058843195438,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.0470043309032917,"[262144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81552,V_SELECT,POINT4,clipped_slots,4002,0.030901243910193443,0.0063811056315898895,0.02041521854698658,0.023331746459007263,0.025542743504047394,0.029659811407327652,0.03618023544549942,0.04018762707710266,0.0470043309032917,"[4002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81552,V_SELECT,POINT8,all_slots,262144,0.020281845703721046,0.0015616760356351733,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.0470920093357563,"[262144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81552,V_SELECT,POINT8,clipped_slots,4919,0.02948145754635334,0.006463849917054176,0.020405979827046394,0.022886629775166513,0.02378782257437706,0.027553508058190346,0.03470592200756073,0.03997093066573143,0.0470920093357563,"[4919, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81552,V_SELECT,POINT16,all_slots,262144,0.020296543836593628,0.0016093191225081682,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.047298818826675415,"[262144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81552,V_SELECT,POINT16,clipped_slots,4970,0.030218161642551422,0.005871105473488569,0.02040555141866207,0.02374218963086605,0.02647426538169384,0.027761412784457207,0.03452637791633606,0.03997093066573143,0.047298818826675415,"[4970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81552,V_SELECT,BURST4,all_slots,262144,0.020280832424759865,0.0015093570109456778,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.0470043309032917,"[262144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81552,V_SELECT,BURST4,clipped_slots,4127,0.030345845967531204,0.006176691502332687,0.020528675988316536,0.023331746459007263,0.025559146888554096,0.02841409482061863,0.03517763689160347,0.03997093066573143,0.0470043309032917,"[4127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81552,V_SELECT,BURST8,all_slots,262144,0.020348211750388145,0.0016598394140601158,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.04756755009293556,"[262144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81552,V_SELECT,BURST8,clipped_slots,7846,0.028213387355208397,0.005204789340496063,0.02052994631230831,0.023330703377723694,0.024516860023140907,0.026739406399428844,0.030121108517050743,0.03679078444838524,0.04756755009293556,"[7846, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81552,V_SELECT,BURST16,all_slots,262144,0.020454563200473785,0.0021911896765232086,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.05146385729312897,"[262142, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81552,V_SELECT,BURST16,clipped_slots,7923,0.03165806084871292,0.005313980393111706,0.02051655389368534,0.02499963529407978,0.027489153668284416,0.031135931611061096,0.03564549423754215,0.039284924417734145,0.05146385729312897,"[7921, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81552,V_SELECT,SHIFT4,all_slots,262144,0.020340923219919205,0.0015230944845825434,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.0470043309032917,"[262144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81552,V_SELECT,SHIFT4,clipped_slots,4016,0.030307883396744728,0.006169312167912722,0.02041521854698658,0.02295667678117752,0.02510736510157585,0.029372356832027435,0.03494460508227348,0.03997093066573143,0.0470043309032917,"[4016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81552,V_SELECT,SHIFT8,all_slots,262144,0.020644105970859528,0.0022148187272250652,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.0470043309032917,"[262144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81552,V_SELECT,SHIFT8,clipped_slots,17848,0.027921447530388832,0.003803231753408909,0.020408492535352707,0.023547502420842647,0.02539178729057312,0.028008852154016495,0.02905123308300972,0.03161462023854256,0.0470043309032917,"[17848, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81552,V_SELECT,SHIFT_POINT,all_slots,262144,0.020344259217381477,0.0015022115549072623,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.04825003072619438,"[262144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81552,V_SELECT,SHIFT_POINT,clipped_slots,4788,0.028946423903107643,0.0061579239554703236,0.02035611681640148,0.02252185996621847,0.02365609211847186,0.02717635966837406,0.033134445548057556,0.03952445089817047,0.04825003072619438,"[4788, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81552,E_DISCOVERY,REFERENCE,all_slots,524288,0.020232394337654114,0.0011944160796701908,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.04545101523399353,"[524288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81552,E_DISCOVERY,REFERENCE,clipped_slots,8088,0.028405163437128067,0.004760609474033117,0.020529940724372864,0.022748149931430817,0.02460433728992939,0.02798083797097206,0.031242763623595238,0.034139249473810196,0.04545101523399353,"[8088, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
electricity,B5,81552,E_DISCOVERY,POINT4,all_slots,524288,0.020233675837516785,0.0012051560916006565,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.020078912377357483,0.04545101523399353,"[524288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
