source,arm,seed,condition,origin,channel,history_subset,nmae,mae,normalized_mse,pinball,crossing
ettm1,B4,81551,BURST16,60799,2,False,0.35304921748787255,2.0878240660531446,0.22205846986985656,0.2747737955128027,0.0
ettm1,B4,81551,BURST16,60799,3,False,0.48439022642182333,0.953207366517745,0.28605559811775627,0.34962287519891116,0.0
ettm1,B4,81551,BURST16,60920,0,False,0.2718455238676406,1.6738988449797034,0.11466312363105233,0.2142596348631034,0.0
ettm1,B4,81551,BURST16,60920,1,False,0.22151063640304003,0.475732883438468,0.08106323612407333,0.17578082606994855,0.0
ettm1,B4,81551,BURST16,60920,2,True,0.630925761478903,3.731100151082501,0.6765522214427994,0.4816889274370866,0.0
ettm1,B4,81551,BURST16,60920,3,False,0.2693143312714554,0.5299702398478985,0.11156516217136464,0.20537818767052207,0.0
ettm1,B4,81551,BURST16,61037,0,False,0.21621698491441305,1.331364063546062,0.10199403978544902,0.1710126676460467,0.0
ettm1,B4,81551,BURST16,61037,1,False,0.39617744445807324,0.8508604420349002,0.23525753727599155,0.2903185625431647,0.0
ettm1,B4,81551,BURST16,61037,2,False,0.26218375767665525,1.550473792012781,0.15084157696320705,0.20718632515027233,0.0
ettm1,B4,81551,BURST16,61037,3,False,0.3200181637600289,0.6297477828338742,0.1695033838891428,0.24309079362496777,0.0
ettm1,B4,81551,BURST16,61142,0,False,1.0154128954293389,6.252442374825478,1.6345124441806398,0.7880451457151539,0.0
ettm1,B4,81551,BURST16,61142,1,False,0.39485847269233454,0.8480277191847563,0.27782989504495637,0.3121325857399734,0.0
ettm1,B4,81551,BURST16,61142,2,False,0.8877742106394756,5.250022575841285,1.490983141134926,0.7158568709031634,0.0
ettm1,B4,81551,BURST16,61142,3,False,0.28928497185837043,0.5692694673780352,0.1501990417846929,0.24199592102475787,0.0
ettm1,B4,81551,BURST16,61197,0,False,0.38996558733541187,2.401227494701743,0.2278041922513942,0.2979876993329591,0.0
ettm1,B4,81551,BURST16,61197,1,False,0.2525005538986334,0.5422891583293676,0.1075941044395546,0.20453770329503795,0.0
ettm1,B4,81551,BURST16,61197,2,False,0.32567991596195556,1.925970467273146,0.18658823625273452,0.25940441989349494,0.0
ettm1,B4,81551,BURST16,61197,3,False,0.15882824523098577,0.3125501818722114,0.042210301472276085,0.14814934339934818,0.0
ettm1,B4,81551,BURST16,61267,0,False,1.649078341899786,10.15426074527204,3.8111144096818514,1.4807439024077937,0.0
ettm1,B4,81551,BURST16,61267,1,False,0.9705535136828725,2.084433637559414,1.302300983087791,0.8480847846757114,0.0
ettm1,B4,81551,BURST16,61267,2,False,1.8999583524142443,11.235767072066665,5.456224645081542,1.7059338278621339,0.0
ettm1,B4,81551,BURST16,61267,3,False,0.8746936417552478,1.7212659902870655,1.0371848061822275,0.7689641766870464,0.0
ettm1,B4,81551,BURST16,61493,0,False,0.3792471096709906,2.3352280729450285,0.24251515495931553,0.33359562102437834,0.0
ettm1,B4,81551,BURST16,61493,1,False,0.2795802858145807,0.6004476249217987,0.11890229693603528,0.20606312113824515,0.0
ettm1,B4,81551,BURST16,61493,2,False,0.3553059212618813,2.101169515401125,0.15726295010100155,0.2613507790271231,0.0
ettm1,B4,81551,BURST16,61493,3,False,0.24209742222463346,0.47641144203953445,0.09587635571975184,0.18573567487322573,0.0
ettm1,B4,81551,BURST16,61601,0,True,0.3336823911450677,2.054661637172103,0.17440979330926865,0.25992906577126174,0.0
ettm1,B4,81551,BURST16,61601,1,False,0.29882000821673316,0.641768298111856,0.16421212932646148,0.2339613293076367,0.0
ettm1,B4,81551,BURST16,61601,2,True,0.38173410457387125,2.2574576316401362,0.2151723829664979,0.2870385280835974,0.0
ettm1,B4,81551,BURST16,61601,3,False,0.2137545960309655,0.4206370080355555,0.08217012354068728,0.1694072980936721,0.0
ettm1,B4,81551,BURST16,61686,0,False,0.2555055881708424,1.573285087943077,0.09084472874826946,0.20934366336880472,0.0
ettm1,B4,81551,BURST16,61686,1,False,0.27912618653936483,0.5994723672047257,0.11571594406175609,0.22381830357703475,0.0
ettm1,B4,81551,BURST16,61686,2,False,0.19208180640250763,1.1359124965965748,0.053524827687839574,0.16872281951536033,0.0
ettm1,B4,81551,BURST16,61686,3,False,0.2744375913459125,0.5400520478142425,0.1375419752216998,0.2151644599033724,0.0
ettm1,B4,81551,BURST16,61806,0,False,1.011944777804414,6.231087312567979,1.3329222186616958,0.7806858193405682,0.0
ettm1,B4,81551,BURST16,61806,1,False,0.597868649732404,1.284027626272291,0.5895492672206172,0.47365512981482116,0.0
ettm1,B4,81551,BURST16,61806,2,False,0.7509812335853221,4.441071145236492,1.0522225073659093,0.5527845310789965,0.0
ettm1,B4,81551,BURST16,61806,3,False,0.49947123987278425,0.9828845406882465,0.5034030654518079,0.4079733307401038,0.0
ettm1,B4,81551,BURST16,61842,0,False,0.8826428575768231,5.434905967209488,1.600457782890023,0.7477553342858525,0.0
ettm1,B4,81551,BURST16,61842,1,False,0.892621055696112,1.9170600362122059,1.5431787547463718,0.794159327090121,0.0
ettm1,B4,81551,BURST16,61842,2,False,0.8687473596525508,5.137503653764725,1.6131384444977066,0.7188962468051242,0.0
ettm1,B4,81551,BURST16,61842,3,False,0.8275615839243022,1.628517164499499,1.3964158469578143,0.7415490692356139,0.0
ettm1,B4,81551,BURST16,61984,0,True,0.2741036389871263,1.6878032721579075,0.10664222940671908,0.21534045898177734,0.0
ettm1,B4,81551,BURST16,61984,1,False,1.7828444654845148,3.8289707079529762,3.658031732121882,1.5171092120877385,0.0
ettm1,B4,81551,BURST16,61984,2,True,0.2519447102856459,1.4899232271127403,0.0945122078831075,0.19479120403644679,0.0
ettm1,B4,81551,BURST16,61984,3,True,1.8993560126018822,3.7376479625236243,4.229541542430896,1.5997944598376113,0.0
ettm1,B4,81551,BURST16,62085,0,True,0.30561681574139393,1.881846820935607,0.18125553205709713,0.27407449866282074,0.0
ettm1,B4,81551,BURST16,62085,1,False,0.4585680359693419,0.9848551633767784,0.2826690262709861,0.35871536011265087,0.0
ettm1,B4,81551,BURST16,62085,2,True,0.20518495952775867,1.2134004984982312,0.06064234268902126,0.16283003256864725,0.0
ettm1,B4,81551,BURST16,62085,3,False,0.3763230269984023,0.7405473148683086,0.20727764244718733,0.31110118187549834,0.0
ettm1,B4,81551,BURST16,62114,0,True,0.37383878340015286,2.301926104351878,0.18672390903074249,0.2729315729775646,0.0
ettm1,B4,81551,BURST16,62114,1,True,0.5425757963029567,1.1652765404433012,0.5206846180306853,0.44834737569892213,0.0
ettm1,B4,81551,BURST16,62114,2,True,0.32612432372986916,1.9285985575988889,0.14933439870201953,0.25589087266773813,0.0
ettm1,B4,81551,BURST16,62114,3,True,0.5837877911677292,1.1488068765029311,0.611396691359326,0.4654915581850853,0.0
ettm1,B4,81551,BURST16,62328,0,False,0.2290567104757612,1.4104251475073397,0.10310463410726813,0.18473458498070594,0.0
ettm1,B4,81551,BURST16,62328,1,False,0.5837269347946732,1.2536558168940246,0.561532350981079,0.5012664482086361,0.0
ettm1,B4,81551,BURST16,62328,2,False,0.2745836714106371,1.623803053284064,0.14732568492344544,0.21726809463444885,0.0
ettm1,B4,81551,BURST16,62328,3,False,0.4672087314826878,0.919396759592928,0.3943789958440655,0.38541256368608684,0.0
ettm1,B4,81551,BURST16,62490,0,False,0.6465251383640094,3.9810023978352547,0.7356903775063174,0.4731139539172232,0.0
ettm1,B4,81551,BURST16,62490,1,False,0.37244271857726774,0.7998859616927803,0.21733346684144988,0.3100826701776477,0.0
ettm1,B4,81551,BURST16,62490,2,False,0.8661469556334754,5.122125667287037,1.5011556036588758,0.6768756046484892,0.0
ettm1,B4,81551,BURST16,62490,3,False,0.27832611049044714,0.547704070690088,0.13504706613200274,0.23837271720387598,0.0
ettm1,B4,81551,BURST16,62589,0,False,0.5657180677392015,3.4834298784844577,0.5384037877272707,0.40838956886075695,0.0
ettm1,B4,81551,BURST16,62589,1,False,0.22043675422424752,0.47342653339728713,0.09149002827853323,0.19790373820281576,0.0
ettm1,B4,81551,BURST16,62589,2,False,0.9237890006789994,5.463002924341708,1.468502543263969,0.6957467475324622,0.0
ettm1,B4,81551,BURST16,62589,3,False,0.17333847046353912,0.34110413037706167,0.04334221535169484,0.14534233077713032,0.0
ettm1,B4,81551,BURST16,62628,0,False,0.4789380266983517,2.9490785733796656,0.47820230526553986,0.3606899055953986,0.0
ettm1,B4,81551,BURST16,62628,1,False,0.1730053066485942,0.3715591933578253,0.05380189480285615,0.15288656244443724,0.0
ettm1,B4,81551,BURST16,62628,2,False,0.3136710486389801,1.8549537337385118,0.20763425381576922,0.24567492097443056,0.0
ettm1,B4,81551,BURST16,62628,3,False,0.15682908709869167,0.3086161382962018,0.04107556104976001,0.1255744750925975,0.0
ettm1,B4,81551,BURST16,62710,0,False,1.5934712909214213,9.811858276836574,4.018461428974869,1.4276086736422715,0.0
ettm1,B4,81551,BURST16,62710,1,False,0.3739656930899756,0.8031568161677569,0.20670012390079384,0.2897491195056005,0.0
ettm1,B4,81551,BURST16,62710,2,False,1.5719507072972656,9.296031133271754,4.1471374947547535,1.4120675213954486,0.0
ettm1,B4,81551,BURST16,62710,3,False,0.30059076659989614,0.5915175769478083,0.11946603318276244,0.21766050277570934,0.0
ettm1,B4,81551,BURST16,62800,0,True,0.4343702723127143,2.674650981090963,0.34315245772547537,0.33208110272082647,0.0
ettm1,B4,81551,BURST16,62800,1,False,0.20888554377018828,0.44861828605644405,0.07164003912063716,0.17029263221658902,0.0
ettm1,B4,81551,BURST16,62800,2,True,0.5254279068583694,3.107218411983922,0.5226970406051298,0.41399051832945644,0.0
ettm1,B4,81551,BURST16,62800,3,False,0.2354342637797035,0.4632993448758498,0.08364659867643089,0.1800622670350574,0.0
ettm1,B4,81551,BURST16,62892,0,True,0.9442029037909376,5.813964223489165,1.4318628704129006,0.708705667720696,0.0
ettm1,B4,81551,BURST16,62892,1,False,0.2622727286716293,0.5632766149938107,0.1148195696950158,0.20498980409401885,0.0
ettm1,B4,81551,BURST16,62892,2,True,1.1093069728848939,6.560098932124674,1.943876865218504,0.8594893388857496,0.0
ettm1,B4,81551,BURST16,62892,3,False,0.2656326827650278,0.5227253073826432,0.10831696275621111,0.2024902182347646,0.0
ettm1,B4,81551,BURST16,63065,0,False,0.4859660454877087,2.9923538584262133,0.28905249088341434,0.3459192726261872,0.0
ettm1,B4,81551,BURST16,63065,1,False,0.1784043246808718,0.38315453007817274,0.0488856407485487,0.14526525436317442,0.0
ettm1,B4,81551,BURST16,63065,2,True,0.3276636431881187,1.9377016176003963,0.1561167559188618,0.25717065401769856,0.0
ettm1,B4,81551,BURST16,63065,3,False,0.1973246299945694,0.38830529735423625,0.06593722394335487,0.16580582902217522,0.0
ettm1,B4,81551,BURST16,63231,0,False,0.20521296614051346,1.263606411870569,0.06559697364345654,0.1898809625815911,0.0
ettm1,B4,81551,BURST16,63231,1,False,0.18905670054584672,0.40603237273171544,0.06632408843591207,0.17982290865752984,0.0
ettm1,B4,81551,BURST16,63231,2,False,0.2652337360619017,1.5685104224830866,0.11431077230825362,0.22147863335944495,0.0
ettm1,B4,81551,BURST16,63231,3,False,0.1797732019887669,0.35376671759877354,0.06265668202067465,0.1497184805491626,0.0
ettm1,B4,81551,BURST16,63324,0,False,0.6308893129501008,3.884724225848913,0.5726506039179331,0.5251472892335701,0.0
ettm1,B4,81551,BURST16,63324,1,False,0.3812258866591787,0.8187493532896042,0.2548936680167894,0.30267531179569007,0.0
ettm1,B4,81551,BURST16,63324,2,False,0.2592768903661602,1.5332834762521088,0.09977868607311369,0.21434473613313296,0.0
ettm1,B4,81551,BURST16,63324,3,False,0.225650882956558,0.4440471177222207,0.08067769103530373,0.17168059497614674,0.0
ettm1,B4,81551,BURST16,63396,0,False,0.4880432555142269,3.0051443558186293,0.4895512840743423,0.37622470655665663,0.0
ettm1,B4,81551,BURST16,63396,1,False,0.21219845995698536,0.4557333537377417,0.06269052446235363,0.16341458627350697,0.0
ettm1,B4,81551,BURST16,63396,2,False,0.6363065605447609,3.7629205354023725,0.8269447005162198,0.5112864463260305,0.0
ettm1,B4,81551,BURST16,63396,3,False,0.19018327718017203,0.3742521853419021,0.05606360246756561,0.1498564524424313,0.0
ettm1,B4,81551,BURST16,63538,0,False,0.7044646939644194,4.3377673495560884,1.0049735336311962,0.5658678791327556,0.0
ettm1,B4,81551,BURST16,63538,1,False,0.47169826181908847,1.0130546228028834,0.4548864172917396,0.38197995011397556,0.0
ettm1,B4,81551,BURST16,63538,2,False,0.7646662438982736,4.522000070894137,1.1582465096883368,0.6204932323891423,0.0
ettm1,B4,81551,BURST16,63538,3,False,0.5199983576133678,1.0232788318535313,0.5819185020954876,0.438306963231778,0.0
ettm1,B4,81551,BURST16,63625,0,False,0.32578383515896064,2.006025987211615,0.3047802573073304,0.26606503950309635,0.0
ettm1,B4,81551,BURST16,63625,1,False,0.2765519784381386,0.5939438045024872,0.121740196211505,0.2144638281478134,0.0
ettm1,B4,81551,BURST16,63625,2,False,0.2855656635204067,1.68874716386199,0.23086365694051997,0.2409136973349288,0.0
ettm1,B4,81551,BURST16,63625,3,False,0.2701615306861249,0.5316374013200402,0.1387933017849866,0.21813239468685813,0.0
ettm1,B4,81551,BURST16,63663,0,False,0.7931526541385645,4.883866737131029,1.1622492998210379,0.6064046218461179,0.0
ettm1,B4,81551,BURST16,63663,1,False,0.5571075743547838,1.1964860786683857,0.6584432397243097,0.4688026250730922,0.0
ettm1,B4,81551,BURST16,63663,2,False,0.7702190064075622,4.554837393923663,1.1628583110373163,0.5843659566163977,0.0
ettm1,B4,81551,BURST16,63663,3,False,0.6459356005395618,1.27110445080325,0.8044235143668031,0.5327480510350868,0.0
ettm1,B4,81551,BURST16,63804,0,False,0.3149924621828978,1.9395777098834515,0.1745097556244939,0.26745862812646354,0.0
ettm1,B4,81551,BURST16,63804,1,False,0.3393133010772176,0.7287347358651459,0.15905270542568328,0.2681506922801337,0.0
ettm1,B4,81551,BURST16,63804,2,False,0.2145695939263028,1.2688983287662268,0.07372527879098514,0.17226934311992415,0.0
ettm1,B4,81551,BURST16,63804,3,False,0.37368869106123925,0.7353633365710266,0.19759189622587917,0.3071849092940728,0.0
ettm1,B4,81551,BURST16,63911,0,True,0.22268899112394502,1.3712156806141134,0.0806164601991328,0.2005630684752798,0.0
ettm1,B4,81551,BURST16,63911,1,False,0.18387144513721837,0.394896128680557,0.05558110049449606,0.1699758109046009,0.0
ettm1,B4,81551,BURST16,63911,2,True,0.19369294837598638,1.1454402927774936,0.061476235315986213,0.16057454413160036,0.0
ettm1,B4,81551,BURST16,63911,3,False,0.1807692845431107,0.35572685877559707,0.059891869097359475,0.1597858748550989,0.0
ettm1,B4,81551,BURST16,64107,0,False,0.19234004629379062,1.1843409328721464,0.07248178829790133,0.17186635857838062,0.0
ettm1,B4,81551,BURST16,64107,1,False,0.33461845987655636,0.7186517422087491,0.16153375711229367,0.24098068854134264,0.0
ettm1,B4,81551,BURST16,64107,2,False,0.27464840661073886,1.624185877270065,0.16022030166797777,0.21739472195433523,0.0
ettm1,B4,81551,BURST16,64107,3,False,0.4034919053291381,0.7940115954261273,0.22874460931687962,0.3010585815031903,0.0
ettm1,B4,81551,BURST16,64149,0,False,0.4727456048751474,2.910948507487774,0.33336291563064113,0.4209715970060486,0.0
ettm1,B4,81551,BURST16,64149,1,False,0.5655357872122744,1.2145871417596936,0.3858772585126623,0.4434672570649064,0.0
ettm1,B4,81551,BURST16,64149,2,False,0.44916832311281973,2.6562427793396637,0.32264567848648523,0.32637856761338413,0.0
ettm1,B4,81551,BURST16,64149,3,False,0.7129702352353641,1.4030185649171472,0.6164973907866604,0.5838664351850563,0.0
ettm1,B4,81551,BURST16,64249,0,False,0.5597590582299782,3.44673705752939,0.6852788153250847,0.44080603775349386,0.0
ettm1,B4,81551,BURST16,64249,1,False,0.38813314003087396,0.833583889529109,0.21600053180257806,0.30171184414180996,0.0
ettm1,B4,81551,BURST16,64249,2,False,0.7027177490839033,4.155655799550004,1.021027461783808,0.5813204259883993,0.0
ettm1,B4,81551,BURST16,64249,3,False,0.4097739493561555,0.8063737165357452,0.27357610801791754,0.34622903411564676,0.0
ettm1,B4,81551,BURST16,64337,0,False,0.4580485603002641,2.8204509131610394,0.2877662690371666,0.3369794426076868,0.0
ettm1,B4,81551,BURST16,64337,1,False,0.21079673668305537,0.4527229075320065,0.07916584434815921,0.17572939217283745,0.0
ettm1,B4,81551,BURST16,64337,2,False,0.44563572115283573,2.635352062061429,0.29493153906647596,0.330886950993329,0.0
ettm1,B4,81551,BURST16,64337,3,False,0.22669467490687656,0.44610114383976907,0.08286795634034444,0.17662019660336836,0.0
ettm1,B4,81551,BURST16,64506,0,False,0.6812017328966514,4.194524808321148,0.6414734015449509,0.49867008572981664,0.0
ettm1,B4,81551,BURST16,64506,1,False,0.37657830682143006,0.8087678616866469,0.2170804222323119,0.29064511452121217,0.0
ettm1,B4,81551,BURST16,64506,2,True,4.606772058593734,27.24302758462727,37.24365294767568,4.037402148155606,0.0
ettm1,B4,81551,BURST16,64506,3,False,0.3692024888529855,0.7265351630048826,0.1984728153694818,0.274855853921827,0.0
ettm1,B4,81551,BURST16,64551,0,False,0.3508682489863951,2.160484191030264,0.2259600124935626,0.2951902902723032,0.0
ettm1,B4,81551,BURST16,64551,1,False,0.28887138811679425,0.6204018942080438,0.12725347772456896,0.22602451094004358,0.0
ettm1,B4,81551,BURST16,64551,2,False,0.3720862367836481,2.200403120368719,0.2771958718526474,0.3213913927154727,0.0
ettm1,B4,81551,BURST16,64551,3,False,0.2344070079686019,0.46127785940188915,0.0824996673075349,0.18217561590174264,0.0
ettm1,B4,81551,BURST16,64618,0,False,1.1638646524695686,7.166539547033608,2.259769131927031,0.9527274428281483,0.0
ettm1,B4,81551,BURST16,64618,1,False,0.3396669915841493,0.7294943481683731,0.17224374349989446,0.2585654997783179,0.0
ettm1,B4,81551,BURST16,64618,2,True,1.2168269863136878,7.195939094061032,2.4862439773465947,1.001909953953664,0.0
ettm1,B4,81551,BURST16,64618,3,False,0.2905842194792668,0.5718261919682845,0.12165275207839422,0.22312995943061098,0.0
ettm1,B4,81551,BURST16,64779,0,False,0.25718733778531583,1.5836405232548714,0.1330147296959819,0.2205881053733655,0.0
ettm1,B4,81551,BURST16,64779,1,False,0.24045127187415416,0.5164112150669098,0.095465271510109,0.1952840035676793,0.0
ettm1,B4,81551,BURST16,64779,2,False,0.29741758707948474,1.7588357804343104,0.1298268511617029,0.2276672971756594,0.0
ettm1,B4,81551,BURST16,64779,3,False,0.24270711931213737,0.4776112345280126,0.11913294544938824,0.19936015547406993,0.0
ettm1,B4,81551,BURST16,64929,0,False,0.9596604276401062,5.909144497010857,1.3100355353873545,0.6814631614878024,0.0
ettm1,B4,81551,BURST16,64929,1,False,0.5280201939484293,1.1340158353559673,0.38718281834389634,0.38461308283329404,0.0
ettm1,B4,81551,BURST16,64929,2,False,1.0847426619324505,6.414833181537688,1.5891221975005663,0.8027422664390053,0.0
ettm1,B4,81551,BURST16,64929,3,False,0.6393385871839272,1.2581225172616541,0.5236006694052251,0.4799236205821657,0.0
