cell,rule,candidate,loss
beijing_233_34001_native_anchor,SPREAD4,beijing_233_34001_native_anchor_0_step150,0.19683792705127298
beijing_233_34001_native_anchor,SPREAD4,beijing_233_34001_native_anchor_0_step450,0.2044579288652205
beijing_233_34001_native_anchor,SPREAD4,beijing_233_34001_native_anchor_0_step900,0.2091633071339512
beijing_233_34001_native_anchor,SPREAD4,beijing_233_34001_native_anchor_1_step150,0.19910083949104398
beijing_233_34001_native_anchor,SPREAD4,beijing_233_34001_native_anchor_1_step450,0.2294111297025412
beijing_233_34001_native_anchor,SPREAD4,beijing_233_34001_native_anchor_1_step900,0.25840287663510914
beijing_233_34001_native_anchor,ALL16,beijing_233_34001_native_anchor_0_step0,0.22845665956278377
beijing_233_34001_native_anchor,ALL16,beijing_233_34001_native_anchor_0_step150,0.2285412681844125
beijing_233_34001_native_anchor,ALL16,beijing_233_34001_native_anchor_0_step450,0.23482361972207738
beijing_233_34001_native_anchor,ALL16,beijing_233_34001_native_anchor_0_step900,0.24355114180325493
beijing_233_34001_native_anchor,ALL16,beijing_233_34001_native_anchor_1_step150,0.2293680492623678
beijing_233_34001_native_anchor,ALL16,beijing_233_34001_native_anchor_1_step450,0.23863668097157825
beijing_233_34001_native_anchor,ALL16,beijing_233_34001_native_anchor_1_step900,0.2773072281000915
electricity_new_233_34000_native,RECENT4,electricity_new_233_34000_native_0_step0,0.224276534790259
electricity_new_233_34000_native,RECENT4,electricity_new_233_34000_native_0_step150,0.22170307581105836
electricity_new_233_34000_native,RECENT4,electricity_new_233_34000_native_0_step450,0.22041291403593355
electricity_new_233_34000_native,RECENT4,electricity_new_233_34000_native_0_step900,0.2365887740057673
electricity_new_233_34000_native,RECENT4,electricity_new_233_34000_native_1_step150,0.22241822734907188
electricity_new_233_34000_native,RECENT4,electricity_new_233_34000_native_1_step450,0.23818568934624765
electricity_new_233_34000_native,RECENT4,electricity_new_233_34000_native_1_step900,0.2521468741177614
electricity_new_233_34000_native,SPREAD4,electricity_new_233_34000_native_0_step0,0.1756964491990592
electricity_new_233_34000_native,SPREAD4,electricity_new_233_34000_native_0_step150,0.17744745007566526
electricity_new_233_34000_native,SPREAD4,electricity_new_233_34000_native_0_step450,0.17842773220752653
electricity_new_233_34000_native,SPREAD4,electricity_new_233_34000_native_0_step900,0.19261440948113234
electricity_new_233_34000_native,SPREAD4,electricity_new_233_34000_native_1_step150,0.17714827591683965
electricity_new_233_34000_native,SPREAD4,electricity_new_233_34000_native_1_step450,0.1969256363203172
electricity_new_233_34000_native,SPREAD4,electricity_new_233_34000_native_1_step900,0.2032453587418041
electricity_new_233_34000_native,ALL16,electricity_new_233_34000_native_0_step0,0.18307682648883952
electricity_new_233_34000_native,ALL16,electricity_new_233_34000_native_0_step150,0.18166269697118798
electricity_new_233_34000_native,ALL16,electricity_new_233_34000_native_0_step450,0.1825744522293673
electricity_new_233_34000_native,ALL16,electricity_new_233_34000_native_0_step900,0.18944527046429194
electricity_new_233_34000_native,ALL16,electricity_new_233_34000_native_1_step150,0.18231711251037994
electricity_new_233_34000_native,ALL16,electricity_new_233_34000_native_1_step450,0.19455158645434786
electricity_new_233_34000_native,ALL16,electricity_new_233_34000_native_1_step900,0.19784065563044514
electricity_new_233_34000_native_anchor,RECENT4,electricity_new_233_34000_native_anchor_0_step0,0.224276534790259
electricity_new_233_34000_native_anchor,RECENT4,electricity_new_233_34000_native_anchor_0_step150,0.2231069417645592
electricity_new_233_34000_native_anchor,RECENT4,electricity_new_233_34000_native_anchor_0_step450,0.220914645528006
electricity_new_233_34000_native_anchor,RECENT4,electricity_new_233_34000_native_anchor_0_step900,0.22440056435856323
electricity_new_233_34000_native_anchor,RECENT4,electricity_new_233_34000_native_anchor_1_step150,0.2224900569521876
electricity_new_233_34000_native_anchor,RECENT4,electricity_new_233_34000_native_anchor_1_step450,0.22454509491956542
electricity_new_233_34000_native_anchor,RECENT4,electricity_new_233_34000_native_anchor_1_step900,0.23869675459934328
electricity_new_233_34000_native_anchor,SPREAD4,electricity_new_233_34000_native_anchor_0_step0,0.1756964491990592
electricity_new_233_34000_native_anchor,SPREAD4,electricity_new_233_34000_native_anchor_0_step150,0.17601798756834203
electricity_new_233_34000_native_anchor,SPREAD4,electricity_new_233_34000_native_anchor_0_step450,0.17693111692583474
electricity_new_233_34000_native_anchor,SPREAD4,electricity_new_233_34000_native_anchor_0_step900,0.17890218663258772
electricity_new_233_34000_native_anchor,SPREAD4,electricity_new_233_34000_native_anchor_1_step150,0.17622491050503714
electricity_new_233_34000_native_anchor,SPREAD4,electricity_new_233_34000_native_anchor_1_step450,0.17882249449151283
electricity_new_233_34000_native_anchor,SPREAD4,electricity_new_233_34000_native_anchor_1_step900,0.19313199907321696
electricity_new_233_34000_native_anchor,ALL16,electricity_new_233_34000_native_anchor_0_step0,0.18307682648883952
electricity_new_233_34000_native_anchor,ALL16,electricity_new_233_34000_native_anchor_0_step150,0.18251257063097934
electricity_new_233_34000_native_anchor,ALL16,electricity_new_233_34000_native_anchor_0_step450,0.18249684833702967
