cell,source,seed,arm,rule,candidate,canonical,loss
electricity_new_233_34000_native_anchor,electricity_new,34000,native_anchor,ALL16,electricity_new_233_34000_native_anchor_1_step150,electricity_new_233_34000_native_anchor_1_step150,0.21417173578034618
electricity_new_233_34000_native_anchor,electricity_new,34000,native_anchor,F0,electricity_new_233_34000_native_anchor_0_step0,electricity_new_F0,0.215498740504586
electricity_new_233_34000_native_anchor,electricity_new,34000,native_anchor,FIXED,electricity_new_233_34000_native_anchor_0_step150,electricity_new_233_34000_native_anchor_0_step150,0.21446936588186083
electricity_new_233_34000_native_anchor,electricity_new,34000,native_anchor,RECENT4,electricity_new_233_34000_native_anchor_0_step450,electricity_new_233_34000_native_anchor_0_step450,0.21371202909431905
electricity_new_233_34000_native_anchor,electricity_new,34000,native_anchor,SPREAD4,electricity_new_233_34000_native_anchor_0_step0,electricity_new_F0,0.215498740504586
electricity_new_233_34001_native,electricity_new,34001,native,ALL16,electricity_new_233_34001_native_0_step150,electricity_new_233_34001_native_0_step150,0.2154174973122772
electricity_new_233_34001_native,electricity_new,34001,native,F0,electricity_new_233_34001_native_0_step0,electricity_new_F0,0.215498740504586
electricity_new_233_34001_native,electricity_new,34001,native,FIXED,electricity_new_233_34001_native_0_step150,electricity_new_233_34001_native_0_step150,0.2154174973122772
electricity_new_233_34001_native,electricity_new,34001,native,RECENT4,electricity_new_233_34001_native_1_step150,electricity_new_233_34001_native_1_step150,0.21790524698709277
electricity_new_233_34001_native,electricity_new,34001,native,SPREAD4,electricity_new_233_34001_native_0_step0,electricity_new_F0,0.215498740504586
electricity_new_233_34001_native_anchor,electricity_new,34001,native_anchor,ALL16,electricity_new_233_34001_native_anchor_1_step150,electricity_new_233_34001_native_anchor_1_step150,0.21542225172121665
electricity_new_233_34001_native_anchor,electricity_new,34001,native_anchor,F0,electricity_new_233_34001_native_anchor_0_step0,electricity_new_F0,0.215498740504586
electricity_new_233_34001_native_anchor,electricity_new,34001,native_anchor,FIXED,electricity_new_233_34001_native_anchor_0_step150,electricity_new_233_34001_native_anchor_0_step150,0.21499512204754676
electricity_new_233_34001_native_anchor,electricity_new,34001,native_anchor,RECENT4,electricity_new_233_34001_native_anchor_1_step150,electricity_new_233_34001_native_anchor_1_step150,0.21542225172121665
electricity_new_233_34001_native_anchor,electricity_new,34001,native_anchor,SPREAD4,electricity_new_233_34001_native_anchor_0_step0,electricity_new_F0,0.215498740504586
ettm2_later_233_34000_native,ettm2_later,34000,native,ALL16,ettm2_later_233_34000_native_1_step150,ettm2_later_233_34000_native_1_step150,0.10779878457683317
ettm2_later_233_34000_native,ettm2_later,34000,native,F0,ettm2_later_233_34000_native_0_step0,ettm2_later_F0,0.10953722808179839
ettm2_later_233_34000_native,ettm2_later,34000,native,FIXED,ettm2_later_233_34000_native_0_step150,ettm2_later_233_34000_native_0_step150,0.10837899474728652
ettm2_later_233_34000_native,ettm2_later,34000,native,RECENT4,ettm2_later_233_34000_native_1_step150,ettm2_later_233_34000_native_1_step150,0.10779878457683317
ettm2_later_233_34000_native,ettm2_later,34000,native,SPREAD4,ettm2_later_233_34000_native_0_step150,ettm2_later_233_34000_native_0_step150,0.10837899474728652
ettm2_later_233_34000_native_anchor,ettm2_later,34000,native_anchor,ALL16,ettm2_later_233_34000_native_anchor_1_step150,ettm2_later_233_34000_native_anchor_1_step150,0.10792345115934028
ettm2_later_233_34000_native_anchor,ettm2_later,34000,native_anchor,F0,ettm2_later_233_34000_native_anchor_0_step0,ettm2_later_F0,0.10953722808179839
ettm2_later_233_34000_native_anchor,ettm2_later,34000,native_anchor,FIXED,ettm2_later_233_34000_native_anchor_0_step150,ettm2_later_233_34000_native_anchor_0_step150,0.1086439797429857
ettm2_later_233_34000_native_anchor,ettm2_later,34000,native_anchor,RECENT4,ettm2_later_233_34000_native_anchor_0_step450,ettm2_later_233_34000_native_anchor_0_step450,0.108364722709958
ettm2_later_233_34000_native_anchor,ettm2_later,34000,native_anchor,SPREAD4,ettm2_later_233_34000_native_anchor_0_step450,ettm2_later_233_34000_native_anchor_0_step450,0.108364722709958
ettm2_later_233_34001_native,ettm2_later,34001,native,ALL16,ettm2_later_233_34001_native_0_step150,ettm2_later_233_34001_native_0_step150,0.10836390427172968
ettm2_later_233_34001_native,ettm2_later,34001,native,F0,ettm2_later_233_34001_native_0_step0,ettm2_later_F0,0.10953722808179839
ettm2_later_233_34001_native,ettm2_later,34001,native,FIXED,ettm2_later_233_34001_native_0_step150,ettm2_later_233_34001_native_0_step150,0.10836390427172968
ettm2_later_233_34001_native,ettm2_later,34001,native,RECENT4,ettm2_later_233_34001_native_1_step150,ettm2_later_233_34001_native_1_step150,0.10834535587807509
ettm2_later_233_34001_native,ettm2_later,34001,native,SPREAD4,ettm2_later_233_34001_native_0_step150,ettm2_later_233_34001_native_0_step150,0.10836390427172968
ettm2_later_233_34001_native_anchor,ettm2_later,34001,native_anchor,ALL16,ettm2_later_233_34001_native_anchor_0_step150,ettm2_later_233_34001_native_anchor_0_step150,0.10861488126801849
ettm2_later_233_34001_native_anchor,ettm2_later,34001,native_anchor,F0,ettm2_later_233_34001_native_anchor_0_step0,ettm2_later_F0,0.10953722808179839
ettm2_later_233_34001_native_anchor,ettm2_later,34001,native_anchor,FIXED,ettm2_later_233_34001_native_anchor_0_step150,ettm2_later_233_34001_native_anchor_0_step150,0.10861488126801849
ettm2_later_233_34001_native_anchor,ettm2_later,34001,native_anchor,RECENT4,ettm2_later_233_34001_native_anchor_1_step150,ettm2_later_233_34001_native_anchor_1_step150,0.10816349636503353
ettm2_later_233_34001_native_anchor,ettm2_later,34001,native_anchor,SPREAD4,ettm2_later_233_34001_native_anchor_0_step450,ettm2_later_233_34001_native_anchor_0_step450,0.10859062862343544
