canonical,source,split,origin,channel,numerator,count
beijing_233_34000_native_1_step150,beijing,S,19584,0,27.93291558842523,48
beijing_233_34000_native_1_step150,beijing,S,19584,1,9.682103719652847,48
beijing_233_34000_native_1_step150,beijing,S,19584,2,15.526982120757822,48
beijing_233_34000_native_1_step150,beijing,S,19584,3,7.096310279024087,48
beijing_233_34000_native_1_step150,beijing,S,19680,0,8.0517725107157,48
beijing_233_34000_native_1_step150,beijing,S,19680,1,8.500165589139092,48
beijing_233_34000_native_1_step150,beijing,S,19680,2,12.913229575401814,48
beijing_233_34000_native_1_step150,beijing,S,19680,3,13.481910584413093,48
beijing_233_34000_native_1_step150,beijing,S,19776,0,4.7187308320332315,48
beijing_233_34000_native_1_step150,beijing,S,19776,1,5.4491303370386035,48
beijing_233_34000_native_1_step150,beijing,S,19776,2,5.3729124608726275,48
beijing_233_34000_native_1_step150,beijing,S,19776,3,6.882921278754399,48
beijing_233_34000_native_1_step150,beijing,S,19872,0,20.568689302268396,48
beijing_233_34000_native_1_step150,beijing,S,19872,1,17.3006989405367,48
beijing_233_34000_native_1_step150,beijing,S,19872,2,9.527999702072576,48
beijing_233_34000_native_1_step150,beijing,S,19872,3,9.223782902249804,48
beijing_233_34000_native_1_step450,beijing,S,18432,0,6.165116761091104,48
beijing_233_34000_native_1_step450,beijing,S,18432,1,3.3612534615477454,48
beijing_233_34000_native_1_step450,beijing,S,18432,2,8.149918880557443,48
beijing_233_34000_native_1_step450,beijing,S,18432,3,5.942141862530052,48
beijing_233_34000_native_1_step450,beijing,S,18528,0,22.167092512877815,48
beijing_233_34000_native_1_step450,beijing,S,18528,1,7.683620761247935,48
beijing_233_34000_native_1_step450,beijing,S,18528,2,6.280718873256034,48
beijing_233_34000_native_1_step450,beijing,S,18528,3,11.616111876572537,48
beijing_233_34000_native_1_step450,beijing,S,18624,0,2.4473079423829502,48
beijing_233_34000_native_1_step450,beijing,S,18624,1,8.43303669948215,48
beijing_233_34000_native_1_step450,beijing,S,18624,2,5.372976765035556,48
beijing_233_34000_native_1_step450,beijing,S,18624,3,8.45802158951754,48
beijing_233_34000_native_1_step450,beijing,S,18720,0,42.23589767136547,48
beijing_233_34000_native_1_step450,beijing,S,18720,1,17.72066153484878,48
beijing_233_34000_native_1_step450,beijing,S,18720,2,5.8221728017637355,48
beijing_233_34000_native_1_step450,beijing,S,18720,3,8.21367020692251,48
beijing_233_34000_native_1_step450,beijing,S,18816,0,22.25757672580577,48
beijing_233_34000_native_1_step450,beijing,S,18816,1,12.732945229247008,48
beijing_233_34000_native_1_step450,beijing,S,18816,2,4.24990032999081,48
beijing_233_34000_native_1_step450,beijing,S,18816,3,20.151286600661923,48
beijing_233_34000_native_1_step450,beijing,S,18912,0,29.376434854234915,42
beijing_233_34000_native_1_step450,beijing,S,18912,1,10.691476112573831,48
beijing_233_34000_native_1_step450,beijing,S,18912,2,3.7047469835280036,48
