source,arm,seed,variant,step,origin,pinball
Electricity,PCA,92341,selected_raw,512,25139,0.14899981397582898
Electricity,PCA,92341,selected_raw,512,25203,0.1470510769333794
Electricity,PCA,92341,selected_raw,512,25267,0.15500620430503426
Electricity,PCA,92341,selected_raw,512,25331,0.14224262485085057
Electricity,PCA,92341,selected_raw,512,25395,0.1298346585623676
Electricity,PCA,92341,selected_raw,512,25459,0.12425849944750053
Electricity,PCA,92341,selected_raw,512,25523,0.15668590675214678
Electricity,PCA,92341,selected_raw,512,25587,0.24193519699983876
Electricity,PCA,92341,selected_raw,512,25651,0.14873928347590826
Electricity,PCA,92341,selected_raw,512,25715,0.2785908746616984
Electricity,PCA,92341,selected_raw,512,25779,0.16827373999320988
Electricity,PCA,92341,selected_raw,512,25843,0.1852441211037889
Electricity,PCA,92341,selected_raw,512,25907,0.15408595276116432
Electricity,PCA,92341,selected_raw,512,25971,0.16088035387853256
Electricity,PCA,92341,selected_raw,512,26035,0.14459951134984958
Electricity,PCA,92341,selected_raw,512,26099,0.6823251637927258
Electricity,PCA,92341,selected_raw,512,26163,0.3093507413156787
Electricity,PCA,92341,selected_raw,512,26227,0.23854619682001166
Electricity,PCA,92341,selected_cal,512,21043,0.12412520571637359
Electricity,PCA,92341,selected_cal,512,21107,0.173354308324185
Electricity,PCA,92341,selected_cal,512,21171,0.1866652342530977
Electricity,PCA,92341,selected_cal,512,21235,0.12309829268897618
Electricity,PCA,92341,selected_cal,512,21299,0.15036425462727698
Electricity,PCA,92341,selected_cal,512,21363,0.16371635086321826
Electricity,PCA,92341,selected_cal,512,21427,0.3055185554665608
Electricity,PCA,92341,selected_cal,512,21491,0.3730091552348219
Electricity,PCA,92341,selected_cal,512,21555,0.2278581343050966
Electricity,PCA,92341,selected_cal,512,21619,0.18482545593842484
Electricity,PCA,92341,selected_cal,512,21683,0.22617155520126014
Electricity,PCA,92341,selected_cal,512,21747,0.18581086358250132
Electricity,PCA,92341,selected_cal,512,21811,0.17805144438058373
Electricity,PCA,92341,selected_cal,512,21875,0.15608463158562846
Electricity,PCA,92341,selected_cal,512,21939,0.20950566600329057
Electricity,PCA,92341,selected_cal,512,22003,0.14976461072454833
Electricity,PCA,92341,selected_cal,512,22067,0.23216972192212992
Electricity,PCA,92341,selected_cal,512,22131,0.2659459369848981
Electricity,PCA,92341,selected_cal,512,22195,0.21203142692932847
Electricity,PCA,92341,selected_cal,512,22259,0.18342118044746136
Electricity,PCA,92341,selected_cal,512,22323,0.21975840205403108
Electricity,PCA,92341,selected_cal,512,22387,0.17391309631895138
Electricity,PCA,92341,selected_cal,512,22451,0.2077622172363337
Electricity,PCA,92341,selected_cal,512,22515,0.19280216894113653
Electricity,PCA,92341,selected_cal,512,22579,0.2503421075294946
Electricity,PCA,92341,selected_cal,512,22643,0.23875605210524287
Electricity,PCA,92341,selected_cal,512,22707,0.19033429704887828
Electricity,PCA,92341,selected_cal,512,22771,0.20665612700285957
Electricity,PCA,92341,selected_cal,512,22835,0.22187229568898115
Electricity,PCA,92341,selected_cal,512,22899,0.21036812883449194
Electricity,PCA,92341,selected_cal,512,22963,0.22911314010166695
Electricity,PCA,92341,selected_cal,512,23027,0.20068092842627872
Electricity,PCA,92341,selected_cal,512,23091,0.16819314330130758
Electricity,PCA,92341,selected_cal,512,23155,0.20766368959359385
Electricity,PCA,92341,selected_cal,512,23219,0.235244564780203
Electricity,PCA,92341,selected_cal,512,23283,0.17318664426104793
