source,variant,candidate,control,candidate_score,control_score,improvement_pct,ci_low,ci_high
Electricity,selected_cal,SHUFFLE,F0,0.20126947672053255,0.20382612064574276,1.254325950526114,0.895909869294067,1.6441753041173996
Electricity,selected_cal,SHUFFLE,RANDOM,0.20126947672053255,0.2013912991850978,0.06049043084690453,-0.025054277697613703,0.13482303341832866
Electricity,selected_cal,SHUFFLE,PCA,0.20126947672053255,0.20134205912910877,0.036049302808449646,-0.03027723987332087,0.13736374428672493
Electricity,selected_cal,SHUFFLE,TEMP,0.20126947672053255,0.20117175732074707,-0.048575108696624625,-0.17022200745129112,0.08659295763921075
ETTh1,raw128,RANDOM,F0,0.32316651059285373,0.32595430835586114,0.8552725616879475,0.5216586291606415,1.2050688600454302
ETTh1,raw128,RANDOM,PCA,0.32316651059285373,0.32251669138655975,-0.2014838994844892,-0.3859128149987734,-0.04524522590248605
ETTh1,raw128,RANDOM,TEMP,0.32316651059285373,0.3228049653068161,-0.11200115391469811,-0.19005800055062638,-0.04078276883206454
ETTh1,raw128,RANDOM,SHUFFLE,0.32316651059285373,0.3228279431263908,-0.10487551454936295,-0.2146213203412456,-0.02512170036322706
ETTh1,raw128,PCA,F0,0.32251669138655975,0.32595430835586114,1.0546315484035174,0.703770683268721,1.4210792479583954
ETTh1,raw128,PCA,RANDOM,0.32251669138655975,0.32316651059285373,0.20107875816149923,0.04522476384885066,0.38442925324488425
ETTh1,raw128,PCA,TEMP,0.32251669138655975,0.3228049653068161,0.08930281477621538,-0.026678733166533575,0.22413477621363864
ETTh1,raw128,PCA,SHUFFLE,0.32251669138655975,0.3228279431263908,0.09641412599441512,0.008113014945398678,0.18428955750289233
ETTh1,raw128,TEMP,F0,0.3228049653068161,0.32595430835586114,0.9661915698953472,0.6253416095272477,1.3366342778872156
ETTh1,raw128,TEMP,RANDOM,0.3228049653068161,0.32316651059285373,0.11187585166988478,0.040766143152488055,0.18969746533097823
ETTh1,raw128,TEMP,PCA,0.3228049653068161,0.32251669138655975,-0.08938263598607943,-0.22463826869467574,0.026671617464346313
ETTh1,raw128,TEMP,SHUFFLE,0.3228049653068161,0.3228279431263908,0.007117667495615265,-0.06400060284548426,0.07053856602591525
ETTh1,raw128,SHUFFLE,F0,0.3228279431263908,0.32595430835586114,0.9591421709502668,0.6556700990406958,1.2932765557459933
ETTh1,raw128,SHUFFLE,RANDOM,0.3228279431263908,0.32316651059285373,0.10476564104424657,0.02511539093789733,0.21416168359660667
ETTh1,raw128,SHUFFLE,PCA,0.3228279431263908,0.32251669138655975,-0.0965071725413491,-0.1846298110924921,-0.008113673242319869
ETTh1,raw128,SHUFFLE,TEMP,0.3228279431263908,0.3228049653068161,-0.007118174143583289,-0.07058835806600994,0.06395966826734266
ETTh1,selected_raw,RANDOM,F0,0.31918197075823884,0.32595430835586114,2.0776953775461626,1.1228757617211693,2.9435160301338517
ETTh1,selected_raw,RANDOM,PCA,0.31918197075823884,0.31793089754794546,-0.3935047584057827,-0.8948585369901441,-0.0704631663095842
ETTh1,selected_raw,RANDOM,TEMP,0.31918197075823884,0.31902080789776044,-0.05051797766435495,-0.3902605313027352,0.21927470930968937
ETTh1,selected_raw,RANDOM,SHUFFLE,0.31918197075823884,0.3187866484543883,-0.12400842562485526,-0.3497078215851279,0.046369636844588565
ETTh1,selected_raw,PCA,F0,0.31793089754794546,0.32595430835586114,2.4615139613850756,1.532232069282648,3.249487056350936
ETTh1,selected_raw,PCA,RANDOM,0.31793089754794546,0.31918197075823884,0.3919623678371842,0.0704135497939809,0.8869218404305282
ETTh1,selected_raw,PCA,TEMP,0.31793089754794546,0.31902080789776044,0.34164240163427895,0.09670487992042676,0.5948257895931954
ETTh1,selected_raw,PCA,SHUFFLE,0.31793089754794546,0.3187866484543883,0.26844000857372263,0.046665528050849336,0.571146369111455
