source,arm,seed,variant,step,pinball,nmae,raw_mae,coverage,width,crossing
Electricity,SHUFFLE,92342,selected_raw,512,0.2011782396170838,0.2508728915315117,63.82392708684613,0.8045922256097561,0.7838914394378662,0.000732421875
Electricity,SHUFFLE,92342,selected_cal,512,0.20117823961529724,0.2508728915315117,63.82392708684613,0.8045922256097561,0.7838914394378662,0.000732421875
Electricity,TEMP,92341,raw128,128,0.20213650402490524,0.25194624489007605,64.21352441572562,0.8087366615853658,0.7924609184265137,0.0005120998475609756
Electricity,TEMP,92341,selected_raw,512,0.20124912117128538,0.2507505133797746,63.66453417390585,0.8125,0.7978396415710449,0.0005895102896341463
Electricity,TEMP,92341,selected_cal,512,0.20124912117144764,0.2507505133797746,63.66453417390585,0.8125,0.7978396415710449,0.0005895102896341463
Electricity,TEMP,92342,raw128,128,0.20230058212842822,0.25239545775756816,64.3818304117133,0.8157393292682927,0.8094227313995361,0.00044362137957317075
Electricity,TEMP,92342,selected_raw,512,0.2010943934695349,0.25084920147836653,63.779573154522154,0.8053067835365854,0.7841863632202148,0.0006192835365853659
Electricity,TEMP,92342,selected_cal,512,0.20109439347004648,0.25084920147836653,63.779573154522154,0.8053067835365854,0.7841863632202148,0.0006192835365853659
Electricity,F0,0,raw128,0,0.20382612064573588,0.25411298543824246,65.06116760812881,0.8233374618902439,0.8298037648200989,0.00037514291158536586
Electricity,F0,0,selected_raw,0,0.20382612064573588,0.25411298543824246,65.06116760812881,0.8233374618902439,0.8298037648200989,0.00037514291158536586
Electricity,F0,0,selected_cal,0,0.20382612064574276,0.25411298543824246,65.06116760812881,0.8233374618902439,0.8298037648200989,0.00037514291158536586
ETTh1,PCA,92341,raw128,128,0.3225936947577625,0.40411050351500266,1.6000861682277419,0.7989004629629629,1.2730544805526733,7.233796296296296e-05
ETTh1,PCA,92341,selected_raw,512,0.3170451321336282,0.3988797756124597,1.5732035402792337,0.7940228174603174,1.246271014213562,9.300595238095238e-05
ETTh1,PCA,92341,selected_cal,512,0.31704513211889207,0.3988797756124597,1.5732035402792337,0.7940228174603174,1.246271014213562,9.300595238095238e-05
ETTh1,PCA,92342,raw128,128,0.32243968801535716,0.403715763333886,1.5980760214569893,0.7937334656084656,1.2521429061889648,5.166997354497354e-05
ETTh1,PCA,92342,selected_raw,512,0.31881666296226274,0.4022526003653437,1.5923752800814646,0.7939401455026455,1.2764506340026855,6.200396825396825e-05
ETTh1,PCA,92342,selected_cal,512,0.3188166629560855,0.4022526003653437,1.5923752800814646,0.7939401455026455,1.2764506340026855,6.200396825396825e-05
ETTh1,RANDOM,92341,raw128,128,0.32317038928638264,0.40462563662325607,1.6023281315233338,0.8002645502645502,1.282711148262024,5.6836970899470896e-05
ETTh1,RANDOM,92341,selected_raw,512,0.3183942211160185,0.4001833699970714,1.5790882865189502,0.791129298941799,1.2438172101974487,4.650297619047619e-05
ETTh1,RANDOM,92341,selected_cal,512,0.3183942211223798,0.4001833699970714,1.5790882865189502,0.791129298941799,1.2438172101974487,4.650297619047619e-05
ETTh1,RANDOM,92342,raw128,128,0.32316263189932465,0.4046352899047989,1.6013644207520725,0.795056216931217,1.2632018327713013,5.6836970899470896e-05
ETTh1,RANDOM,92342,selected_raw,512,0.31996972040045923,0.4032558753837392,1.596115588883992,0.7946015211640212,1.2830040454864502,2.0667989417989417e-05
ETTh1,RANDOM,92342,selected_cal,512,0.31996972039966703,0.4032558753837392,1.596115588883992,0.7946015211640212,1.2830040454864502,2.0667989417989417e-05
ETTh1,SHUFFLE,92341,raw128,128,0.3229586187218668,0.40444783017277475,1.601497650015055,0.7992311507936508,1.2780450582504272,7.233796296296296e-05
ETTh1,SHUFFLE,92341,selected_raw,512,0.31790675403298596,0.3999182558943499,1.5780379446097879,0.7925760582010583,1.2505807876586914,7.750496031746031e-05
ETTh1,SHUFFLE,92341,selected_cal,512,0.31790675401995405,0.3999182558943499,1.5780379446097879,0.7925760582010583,1.2505807876586914,7.750496031746031e-05
ETTh1,SHUFFLE,92342,raw128,128,0.3226972675309147,0.4040756028790743,1.5994774478327676,0.7945188492063492,1.2579907178878784,6.200396825396825e-05
ETTh1,SHUFFLE,92342,selected_raw,512,0.31966654287579066,0.4030309551551194,1.5964432678486604,0.7922453703703703,1.2735412120819092,5.6836970899470896e-05
ETTh1,SHUFFLE,92342,selected_cal,512,0.31966654285246937,0.4030309551551194,1.5964432678486604,0.7922453703703703,1.2735412120819092,5.6836970899470896e-05
ETTh1,TEMP,92341,raw128,128,0.3229158907457546,0.40430063489608536,1.6009757253673993,0.7994791666666666,1.27894127368927,5.6836970899470896e-05
ETTh1,TEMP,92341,selected_raw,512,0.3182062279398941,0.3998284363733701,1.5774116223897734,0.7922040343915344,1.246541142463684,6.200396825396825e-05
ETTh1,TEMP,92341,selected_cal,512,0.3182062279404008,0.3998284363733701,1.5774116223897734,0.7922040343915344,1.246541142463684,6.200396825396825e-05
ETTh1,TEMP,92342,raw128,128,0.3226940398678776,0.40404219827147836,1.5994205472348122,0.7938574735449735,1.258793592453003,5.166997354497354e-05
ETTh1,TEMP,92342,selected_raw,512,0.3198353878556267,0.40290563536637175,1.5951156700933111,0.7918320105820106,1.2729525566101074,3.616898148148148e-05
ETTh1,TEMP,92342,selected_cal,512,0.31983538784248244,0.40290563536637175,1.5951156700933111,0.7918320105820106,1.2729525566101074,3.616898148148148e-05
ETTh1,F0,0,raw128,0,0.3259543083558611,0.40779194524242857,1.6124165495625844,0.7960896164021164,1.2752766609191895,6.71709656084656e-05
ETTh1,F0,0,selected_raw,0,0.3259543083558611,0.40779194524242857,1.6124165495625844,0.7960896164021164,1.2752766609191895,6.71709656084656e-05
ETTh1,F0,0,selected_cal,0,0.3259543083563332,0.40779194524242857,1.6124165495625844,0.7960896164021164,1.2752766609191895,6.71709656084656e-05
