source,arm,seed,variant,step,series_index,pinball,nmae,raw_mae,coverage,width,crossing
Electricity,SHUFFLE,92341,selected_cal,512,2,0.21001233740670613,0.2556815691758237,108.98795177442271,0.8176448170731707,0.745228111743927,0.0025247713414634147
Electricity,SHUFFLE,92341,selected_cal,512,3,0.39213214539934116,0.5016784342553992,20.68094249614855,0.7850609756097561,1.5757343769073486,0.0
Electricity,SHUFFLE,92341,selected_cal,512,4,0.16373263697423393,0.19988365489433985,55.45436140967578,0.8923399390243902,0.8130744099617004,0.0029296875
Electricity,SHUFFLE,92341,selected_cal,512,5,0.17342112659708667,0.21755419836157028,56.58404909110651,0.819359756097561,0.7055620551109314,0.00011909298780487805
Electricity,SHUFFLE,92341,selected_cal,512,6,0.14718318102173086,0.1818414807550929,59.399561858758695,0.7877286585365854,0.5405353903770447,0.0
Electricity,SHUFFLE,92341,selected_cal,512,7,0.2073319642052002,0.25794661971018923,47.10901283054817,0.7917301829268293,0.7777799963951111,0.0
Electricity,SHUFFLE,92342,raw128,128,0,0.15159986442525641,0.18763433659075335,87.94734232600142,0.8218368902439024,0.6219486594200134,0.0
Electricity,SHUFFLE,92342,raw128,128,1,0.17108638561022282,0.2127905391440273,76.992835521698,0.8117378048780488,0.6880295872688293,0.0
Electricity,SHUFFLE,92342,raw128,128,2,0.21346521380701558,0.2615216512890085,111.47737089744429,0.8065929878048781,0.7400996685028076,0.0018578506097560975
Electricity,SHUFFLE,92342,raw128,128,3,0.3923007589696857,0.501383021079168,20.668764530158626,0.7873475609756098,1.5889010429382324,0.0
Electricity,SHUFFLE,92342,raw128,128,4,0.1632326593998989,0.19901261805298986,55.21270687405656,0.8839557926829268,0.7881901264190674,0.0019769435975609756
Electricity,SHUFFLE,92342,raw128,128,5,0.17415875453170676,0.21747531604054515,56.56353245130399,0.8311737804878049,0.7230632901191711,0.0
