dataset,source,budget,seed,arm,candidate_id,origin,channel,scaled_quantile_mean_pinball_numerator,valid_target_count,train_scale,quantile_count,active
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,10944,1,10.144298306500762,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,10944,2,5.622421670559726,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,10944,3,4.9121633659474275,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11040,0,6.311742667301021,10,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11040,1,12.040220190388652,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11040,2,5.081553876250271,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11040,3,8.449207328529944,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11136,0,15.706445708867065,46,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11136,1,16.95464016769284,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11136,2,5.178627376782694,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11136,3,8.107495033431642,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11232,0,7.016073283108357,20,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11232,1,8.008502246401429,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11232,2,10.6381257950623,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11232,3,16.67855522514667,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11328,0,9.268324981217164,47,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11328,1,10.365306772428216,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11328,2,4.0882315657308315,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11328,3,8.152757746024772,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11424,0,3.11265071539118,15,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11424,1,12.954143470341691,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11424,2,5.402787138078048,48,12.361013236800593,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11424,3,7.937014925352698,48,10.041996353100474,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11520,0,8.462211761263664,48,91.44184586689721,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11520,1,8.560222738551007,48,14.591262213468674,21,True
beijing_32,beijing,32,34000,native,beijing_32_34000_native_0_step150,11520,2,6.345407651310769,48,12.361013236800593,21,True
