dataset,source,budget,seed,arm,checkpoint_id,alpha,S_loss,D_loss,S_gain_vs_f0_percent,D_gain_vs_f0_percent
beijing_233,beijing,233,34000,native,beijing_233_34000_native_1_step450,0.75,0.19088846365503323,0.22411755843340034,14.613301863882286,4.133070071642418
beijing_233,beijing,233,34000,native,beijing_233_34000_native_1_step450,1.0,0.1892749508229308,0.22918258120151686,15.335045496239555,1.9664920213070394
beijing_233,beijing,233,34000,native_anchor,beijing_233_34000_native_anchor_1_step450,0.0,0.2235576123938318,0.2337798431647763,0.0,0.0
beijing_233,beijing,233,34000,native_anchor,beijing_233_34000_native_anchor_1_step450,0.25,0.21207207341284998,0.22683962115044498,5.137619273168938,2.968699918854679
beijing_233,beijing,233,34000,native_anchor,beijing_233_34000_native_anchor_1_step450,0.5,0.20301989924902036,0.2225210887630671,9.186765292801136,4.815964562767559
beijing_233,beijing,233,34000,native_anchor,beijing_233_34000_native_anchor_1_step450,0.75,0.1967089214112361,0.22087640362617916,12.009741334729188,5.519483358324579
beijing_233,beijing,233,34000,native_anchor,beijing_233_34000_native_anchor_1_step450,1.0,0.19367425137682703,0.2219989241289117,13.36718562030468,5.039321986182094
beijing_233,beijing,233,34001,native,beijing_233_34001_native_1_step450,0.0,0.2235576123938318,0.2337798431647763,0.0,0.0
beijing_233,beijing,233,34001,native,beijing_233_34001_native_1_step450,0.25,0.2140197604240188,0.22369357272664916,4.266395524483672,4.314431176608314
beijing_233,beijing,233,34001,native,beijing_233_34001_native_1_step450,0.5,0.20898172525459402,0.21861314679317112,6.5199690510024135,6.487597975209157
beijing_233,beijing,233,34001,native,beijing_233_34001_native_1_step450,0.75,0.20920795921629992,0.21922396558275836,6.418771887871438,6.2263184819396225
beijing_233,beijing,233,34001,native,beijing_233_34001_native_1_step450,1.0,0.215730207430657,0.22663996220963772,3.501292073823726,3.0541046047781486
beijing_233,beijing,233,34001,native_anchor,beijing_233_34001_native_anchor_1_step450,0.0,0.2235576123938318,0.2337798431647763,0.0,0.0
beijing_233,beijing,233,34001,native_anchor,beijing_233_34001_native_anchor_1_step450,0.25,0.21506259945823733,0.225275510184829,3.7999211230746024,3.6377528810099933
beijing_233,beijing,233,34001,native_anchor,beijing_233_34001_native_anchor_1_step450,0.5,0.20926510535594606,0.2199117335964274,6.393209734548086,5.932123736850209
beijing_233,beijing,233,34001,native_anchor,beijing_233_34001_native_anchor_1_step450,0.75,0.2064806575713793,0.2179194346163903,7.638726608141067,6.784335353158322
beijing_233,beijing,233,34001,native_anchor,beijing_233_34001_native_anchor_1_step450,1.0,0.2071774628263795,0.21959950152426383,7.32703726437912,6.065681903344275
ettm2_later_32,ettm2_later,32,34000,native,ettm2_later_32_34000_native_0_step0,0.0,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_32,ettm2_later,32,34000,native,ettm2_later_32_34000_native_0_step0,0.25,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_32,ettm2_later,32,34000,native,ettm2_later_32_34000_native_0_step0,0.5,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_32,ettm2_later,32,34000,native,ettm2_later_32_34000_native_0_step0,0.75,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_32,ettm2_later,32,34000,native,ettm2_later_32_34000_native_0_step0,1.0,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_32,ettm2_later,32,34000,native_anchor,ettm2_later_32_34000_native_anchor_0_step0,0.0,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_32,ettm2_later,32,34000,native_anchor,ettm2_later_32_34000_native_anchor_0_step0,0.25,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_32,ettm2_later,32,34000,native_anchor,ettm2_later_32_34000_native_anchor_0_step0,0.5,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_32,ettm2_later,32,34000,native_anchor,ettm2_later_32_34000_native_anchor_0_step0,0.75,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_32,ettm2_later,32,34000,native_anchor,ettm2_later_32_34000_native_anchor_0_step0,1.0,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_32,ettm2_later,32,34001,native,ettm2_later_32_34001_native_0_step0,0.0,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_32,ettm2_later,32,34001,native,ettm2_later_32_34001_native_0_step0,0.25,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_32,ettm2_later,32,34001,native,ettm2_later_32_34001_native_0_step0,0.5,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_32,ettm2_later,32,34001,native,ettm2_later_32_34001_native_0_step0,0.75,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_32,ettm2_later,32,34001,native,ettm2_later_32_34001_native_0_step0,1.0,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_32,ettm2_later,32,34001,native_anchor,ettm2_later_32_34001_native_anchor_0_step0,0.0,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_32,ettm2_later,32,34001,native_anchor,ettm2_later_32_34001_native_anchor_0_step0,0.25,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_32,ettm2_later,32,34001,native_anchor,ettm2_later_32_34001_native_anchor_0_step0,0.5,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_32,ettm2_later,32,34001,native_anchor,ettm2_later_32_34001_native_anchor_0_step0,0.75,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_32,ettm2_later,32,34001,native_anchor,ettm2_later_32_34001_native_anchor_0_step0,1.0,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_233,ettm2_later,233,34000,native,ettm2_later_233_34000_native_0_step0,0.0,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_233,ettm2_later,233,34000,native,ettm2_later_233_34000_native_0_step0,0.25,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_233,ettm2_later,233,34000,native,ettm2_later_233_34000_native_0_step0,0.5,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_233,ettm2_later,233,34000,native,ettm2_later_233_34000_native_0_step0,0.75,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_233,ettm2_later,233,34000,native,ettm2_later_233_34000_native_0_step0,1.0,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_233,ettm2_later,233,34000,native_anchor,ettm2_later_233_34000_native_anchor_0_step0,0.0,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_233,ettm2_later,233,34000,native_anchor,ettm2_later_233_34000_native_anchor_0_step0,0.25,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_233,ettm2_later,233,34000,native_anchor,ettm2_later_233_34000_native_anchor_0_step0,0.5,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_233,ettm2_later,233,34000,native_anchor,ettm2_later_233_34000_native_anchor_0_step0,0.75,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_233,ettm2_later,233,34000,native_anchor,ettm2_later_233_34000_native_anchor_0_step0,1.0,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_233,ettm2_later,233,34001,native,ettm2_later_233_34001_native_0_step0,0.0,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_233,ettm2_later,233,34001,native,ettm2_later_233_34001_native_0_step0,0.25,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_233,ettm2_later,233,34001,native,ettm2_later_233_34001_native_0_step0,0.5,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_233,ettm2_later,233,34001,native,ettm2_later_233_34001_native_0_step0,0.75,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_233,ettm2_later,233,34001,native,ettm2_later_233_34001_native_0_step0,1.0,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_233,ettm2_later,233,34001,native_anchor,ettm2_later_233_34001_native_anchor_0_step0,0.0,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_233,ettm2_later,233,34001,native_anchor,ettm2_later_233_34001_native_anchor_0_step0,0.25,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_233,ettm2_later,233,34001,native_anchor,ettm2_later_233_34001_native_anchor_0_step0,0.5,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_233,ettm2_later,233,34001,native_anchor,ettm2_later_233_34001_native_anchor_0_step0,0.75,0.16586350976713798,0.1731747232073473,0.0,0.0
ettm2_later_233,ettm2_later,233,34001,native_anchor,ettm2_later_233_34001_native_anchor_0_step0,1.0,0.16586350976713798,0.1731747232073473,0.0,0.0
electricity_new_32,electricity_new,32,34000,native,electricity_new_32_34000_native_0_step150,0.0,0.17036354725255062,0.11940146822492492,0.0,0.0
electricity_new_32,electricity_new,32,34000,native,electricity_new_32_34000_native_0_step150,0.25,0.16935432444975132,0.11922793895663045,0.5923936306064405,0.14533260844631016
