config,arm,train_episodes,validation_episode,alpha,MAE_K,train_rows,validation_origins,n_features
SUPPLY_30M,HISTORY_LAGS_PLAN,"0,1",2,10000.0,1.325292913732683,258,129,620
SUPPLY_30M,HISTORY_LAGS_PLAN,"0,1,2",3,0.01,0.4808287336068413,387,129,620
SUPPLY_30M,HISTORY_LAGS_PLAN,"0,1,2",3,0.1,0.48641507983660026,387,129,620
SUPPLY_30M,HISTORY_LAGS_PLAN,"0,1,2",3,1.0,0.48552470369392026,387,129,620
SUPPLY_30M,HISTORY_LAGS_PLAN,"0,1,2",3,10.0,0.492317038902045,387,129,620
SUPPLY_30M,HISTORY_LAGS_PLAN,"0,1,2",3,100.0,0.7430668166436517,387,129,620
SUPPLY_30M,HISTORY_LAGS_PLAN,"0,1,2",3,1000.0,1.6713163165668443,387,129,620
SUPPLY_30M,HISTORY_LAGS_PLAN,"0,1,2",3,10000.0,2.921323924161861,387,129,620
SUPPLY_30M,HISTORY_LAGS_PLAN,"0,1,2,3",4,0.01,0.2748880422774383,516,129,620
SUPPLY_30M,HISTORY_LAGS_PLAN,"0,1,2,3",4,0.1,0.27548904979684147,516,129,620
SUPPLY_30M,HISTORY_LAGS_PLAN,"0,1,2,3",4,1.0,0.2754217491320668,516,129,620
SUPPLY_30M,HISTORY_LAGS_PLAN,"0,1,2,3",4,10.0,0.27418619626179047,516,129,620
SUPPLY_30M,HISTORY_LAGS_PLAN,"0,1,2,3",4,100.0,0.2953339687613663,516,129,620
SUPPLY_30M,HISTORY_LAGS_PLAN,"0,1,2,3",4,1000.0,0.4964679979797037,516,129,620
SUPPLY_30M,HISTORY_LAGS_PLAN,"0,1,2,3",4,10000.0,1.1806138774685828,516,129,620
